Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit hoy rector be paz juan manana esperamos universidad conferencia luis 
 rt edtechtimes can learn be use for good dr obdulio velasquez rector of unisabana in colombia think; j : 1. Sim : 0.45030624; No similar. 
 programas centros investigaciones permiten herramientas aportar gestion publica juan lu labelurl  ; j : 563. Sim : 0.37704372; No similar. 
 pais acaba enfrentar mayores choques economicos ultimos anos mauriciocard minhacienda labelurl  ; j : 564. Sim : 0.4277583; No similar. 
 miercoles mas 75 empresas estaran aqui puedes perder muestra empresarial labelurl labelurl  ; j : 565. Sim : 0.3540901; No similar. 
 rt psicosabana1 tarde academica psicosabana1 2016 cargo presentacion trabajos estudiantes diegoefre; j : 566. Sim : 0.33606485; No similar. 
 tras elecciones corea sur expertos eafit analizan relaciones do coreas labelurl  ; j : 567. Sim : 0.34799287; No similar. 
 rt inguniandes minutos comienza conferencia internacional gestion programas estandares evm iele lab; j : 568. Sim : 0.34721333; No similar. 
 rt bienestarsabana comprando restaurantes invitados apoyas campana alimentemos sueno opencampus2017; j : 569. Sim : 0.27623925; No similar. 
 consejo superior estudiantil invita hacer parte encuesta medicion tendencias debateplebiscitour lab; j : 570. Sim : 0.3029512; No similar. 
 gobierno debe tener marco politica monetaria contraciclica prociclica josephestiglitz elfuturodecol; j : 571. Sim : 0.19446765; No similar. 
 manana invitacion movernos mejor usemos transporte colectivo bicicleta compartamos carro labelurl  ; j : 572. Sim : 0.2912146; No similar. 
 inauguracion datapol eafit conto conferencia claire wright universidad monterrey labelurl  ; j : 573. Sim : 0.6021246; Baja. 
 rt innoveco damos inicio panel vision2030 eafit upbcolombia danecolombia proantioquia1 labelurl  ; j : 574. Sim : 0.32488957; No similar. 
 fredyaz saludos medida pico placa cobro parqueadero encuentran activos  ; j : 575. Sim : 0.1423744; No similar. 
 manana eafit conferencia inauguracion datapol esperamos 900 be falten labelurl  ; j : 576. Sim : 0.661908; Baja. 
 reclusos carcel modelo escribieron protagonizaron dirigieron obra teatro clasificados labelurl  ; j : 577. Sim : 0.030978605; No similar. 
 comenzo eafit inauguracion centro integridad integridadeafit institucion pueden seguirla labelurl  ; j : 578. Sim : 0.4151177; No similar. 
 comenzo inauguracion bloque 1 parque guayabos nuevo hogar eafitidiomas livelanguages labelurl  ; j : 579. Sim : 0.26939324; No similar. 
 recuerden hoy modificaciones pico placa campus eafit restriccion motos  ; j : 580. Sim : 0.4704313; No similar. 
 orgullo bancomundial presente informe universidad juan luis mejia arango labelurl  ; j : 581. Sim : 0.6703894; Media. 
 hoyeneafit esperamos conferencia inauguracion datapol auditorio 38101 900 be labelurl  ; j : 582. Sim : 0.53828686; Baja. 
 momento suzanne osullivan dialoga cristian vargas upegui eafit haymedellin17 labelurl  ; j : 583. Sim : 0.3473964; No similar. 
 manana eafit ecofineafit colombiacompite esperan presentacion informe nacional competitivid labelur; j : 584. Sim : 0.501683; Baja. 
 8 marzo esperamos conferencia escenario economico mundial trumpismo economista colombi labelurl  ; j : 585. Sim : 0.46498603; No similar. 
 texto maestro cano busca divinidad rector juan luis mejia  ; j : 586. Sim : 0.6111703; Baja. 
 microalgas investigadores intentaran descontaminar cienaga complejo santiago apostol sucre labelurl; j : 587. Sim : 0.22882663; No similar. 
 momento eafit iniciamos presentacion informe productividad clave crecimiento col labelurl  ; j : 588. Sim : 0.37122223; No similar. 
 invitacion atender senalizacion ubicada alrededor construccion puente peatonal eafit labelurl  ; j : 589. Sim : 0.4092768; No similar. 
 momento primera sesion catedra flipeafit comunicacion politica libertad prensa labelurl  ; j : 590. Sim : 0.5167262; Baja. 
 politologos eafit analizan modelo seguridad implementa antioquia criminalidad organizada labelurl  ; j : 591. Sim : 0.3533641; No similar. 
 horizontes obra cumbre cano representa espiritu antioquenidad rector eafit  ; j : 592. Sim : 0.6215158; Baja. 
 eafit onuhabitatcol urbameafit invitan jueves ceremonia premiacion practicas inspiradoras labelurl ; j : 593. Sim : 0.49328575; No similar. 
 universidad rosario dio cristina pardo magistrada corte constitucional labelurl visionarios  ; j : 594. Sim : 0.43643117; No similar. 
 feminismo educacion situacion unidos trump optica historiadora joan scott labelurl  ; j : 595. Sim : 0.53052264; Baja. 
 suficiente declarar valores reto evidencien vida universitaria juan luis labelurl  ; j : 596. Sim : 0.5777047; Baja. 
 manana pierdan eafit conferencia ciclosiete consumo responsable desarrollo sostenible labelurl  ; j : 597. Sim : 0.43932995; No similar. 
 feminismo educacion situacion unidos trump optica historiadora joan scott labelurl  ; j : 598. Sim : 0.53052264; Baja. 
 tratamiento ff aa sera simetrico asuntos diferenciado charoguerra cedemocratico labelurl  ; j : 599. Sim : 0.36603948; No similar. 
 feminismo educacion situacion unidos trump optica historiadora joan scott labelurl  ; j : 600. Sim : 0.53052264; Baja. 
 hoy cantidad injusticias aberrantes delante narices parecen normales enriquepenalosa  ; j : 601. Sim : 0.125019; No similar. 
 resaltamos coraje aliados regiones persistir labor defender derechos humano  ; j : 602. Sim : 0.09012952; No similar. 
 urbameafit invita conferencia urbanista miguel robles estrategias cohabitacion auditorio labelurl  ; j : 603. Sim : 0.35890785; No similar. 
 hoyeneafit ecofineafit colombiacompite invita presentacion informe nacional competitividad 201 labe; j : 604. Sim : 0.3502831; No similar. 
 hoy pierdan auditorio camaramedellin partir 900 be presentacion informe labelurl  ; j : 605. Sim : 0.5172694; Baja. 
 rt urbameafit obayashi prize trabajan hacer medellin ciudad incluyente echeverri labelurl  ; j : 606. Sim : 0.2807871; No similar. 
 campus crecer hoy eafit nueva casa idiomas eafitidiomas livelanguages labelurl  ; j : 607. Sim : 0.4322622; No similar. 
 rt camaraoriente directo siga acto presentacion observatorio competitividad oriente antioqueno labe; j : 608. Sim : 0.44453388; No similar. 
 proximo jueves pierdan eafit trueque literario libro abierto esperamos labelurl  ; j : 609. Sim : 0.45762807; No similar. 
 invitamos seguir conversacion juan luis mejia hectorabadf vivo eafitpereira labelurl  ; j : 610. Sim : 0.5629785; Baja. 
 pueden seguir dialogoplural comfama papel justicia construccion paz directo  ; j : 611. Sim : 0.38759607; No similar. 
 hoyeneafit esperamos primer festival musica camara arcos eafit falten labelurl  ; j : 612. Sim : 0.48264423; No similar. 
 reflexionar posibilidad construir promocionar procesos participacion comunitaria rafael tuesca labe; j : 613. Sim : 0.39485285; No similar. 
 noticas transparencia contexto actual cibecom2017 cibecom miami espacio pensar labelurl  ; j : 614. Sim : 0.2742295; No similar. 
 rector juan luis mejia da bienvenida nuevos representantes eafit labelurl  ; j : 615. Sim : 0.7163869; Media. 
 rt apgguzman universidadempresa apuesta sostenibilidad regional titulo conferencia obduliovp univer; j : 616. Sim : 0.34272945; No similar. 
 aspectos da auge trump inequidad ee uu josephestiglitz elfuturodecolombia labelurl  ; j : 617. Sim : 0.11702411; No similar. 
 ecofineafit colombiacompite invita 20 abril presentacion informe nacional competitivid labelurl  ; j : 618. Sim : 0.29983857; No similar. 
 hoyeneafit esperamos partir 1000 be agora conversatorio dialogos integridad labelurl  ; j : 619. Sim : 0.6022668; Baja. 
 general r jose leonardo gallego panel politica global drogas foroungasscol labelurl  ; j : 620. Sim : 0.38326883; No similar. 
 hoyeneafit desarrolla tercera sesion catedra flipeafit libertad expresion red labelurl  ; j : 621. Sim : 0.4921946; No similar. 
 pi cualifica gestion investigativa eafit internamente hacia entes externos labelurl  ; j : 622. Sim : 0.35536334; No similar. 
 universidad eafit presente lanzamiento observatorio competitividad oriente antioqueno cc labelurl  ; j : 623. Sim : 0.4223021; No similar. 
 hoyeneafit esperamos conferencia consumo responsable desarrollo sostenible ciclosiete ver labelurl ; j : 624. Sim : 0.33384877; No similar. 
 hoyeneafit foro importancia bosques reconstruccion ecologica esperamos 900 be  ; j : 625. Sim : 0.5817295; Baja. 
 comenzo rueda prensa encuentro alcaldes antioquia cumple hoy ideaantioquia labelurl  ; j : 626. Sim : 0.4598706; No similar. 
 recuerden 6 febrero rota picoyplacamedellin tambien aplica campus universidad eafit labelurl  ; j : 627. Sim : 0.51975214; Baja. 
 recuerden invitacion ecofineafit presentacion informe educacion superior america latina labelurl  ; j : 628. Sim : 0.49206468; No similar. 
 rt deloitteco hoy presentamos eafit sextaencuestamillennials generacionquetransforma siguenos vivo ; j : 629. Sim : 0.30652377; No similar. 
 rt peicomovamos hoy peicomovamos presente eafit pereira taller gestion estacionamientos labelurl  ; j : 630. Sim : 0.4902052; No similar. 
 rector obduliovp da bienvenida estudiantes visitan opencampus2017 inicia jornada labelurl  ; j : 631. Sim : 0.4413307; No similar. 
 miercoles eafit continuan dialogos plurales papel justicia construccion paz  ; j : 632. Sim : 0.6378666; Baja. 
 poetiza katherine quinonez genealogias afrodescendientes colombia colectivo estudiantes afrour labe; j : 633. Sim : 0.33300608; No similar. 
 investigaciones paz participacion ciudadana universidad postconflicto 5 octubre 800 be labelurl  ; j : 634. Sim : 0.5016646; Baja. 
 momento desarrolla primer congreso directivos docentes liderazgo gestion cundinamarcagob labelurl  ; j : 635. Sim : 0.33289564; No similar. 
 rt ctaunisabana manana 700 be jornada sustentacion trabajos estudiantes maestria  ; j : 636. Sim : 0.46434256; No similar. 
 investigaciones paz participacion ciudadana universidad postconflicto 5 octubre 800 be labelurl  ; j : 637. Sim : 0.5016646; Baja. 
 eafit presentara informe productividad clave crecimiento colombia 3 agosto bloque labelurl  ; j : 638. Sim : 0.34681833; No similar. 
 hiciste aporte lasabanaconmocoa esperamos donaciones manana 800 be edific labelurl  ; j : 639. Sim : 0.4954196; No similar. 
 rt emisoraudea desarmados proyecto transmedia eafit sensibilizar construccion paz consulte labelurl; j : 640. Sim : 0.4113481; No similar. 
 conversatorio paz clave mujer reflexiones hacia postconflicto onumujerescol pazenclavemujer labelur; j : 641. Sim : 0.34694275; No similar. 
 credibilidad construye tiempo manuelgobe decano comestrategicam iniciamos nueva cohort labelurl  ; j : 642. Sim : 0.36328453; No similar. 
 discucion acuerdos paz convertido tema campana politica jaimecastroc beneficiosdelapaz labelurl  ; j : 643. Sim : 0.44753346; No similar. 
 rt alcaldiachia noticiasdechia ciudad luna vive primera jornada vacunacion nacional labelurl  ; j : 644. Sim : 0.30909902; No similar. 
 olviden proximo lunes rota picoyplacamedellin tambien aplica campus eafit labelurl  ; j : 645. Sim : 0.526472; Baja. 
 rt andreesgs campus escuchamos directo obduliovp rector unisabana foro universidadyempresa labelurl; j : 646. Sim : 0.4023652; No similar. 
 urosarioteescucha brindamos orientacion acompanamiento si afrontando alguna situacion violencia lab; j : 647. Sim : 0.30820704; No similar. 
 55 encuestados califica alimentacion hogar suficiente 59 optimista futuro labelurl  ; j : 648. Sim : 0.28362823; No similar. 
 rt radioclarin instalacion lacealames2016 eafit mas importantes economistas mundo medellin labelurl; j : 649. Sim : 0.4080772; No similar. 
 invitamos miercoles lanzamiento libro comunicacion transmedia leccion inaugural maestria labelurl  ; j : 650. Sim : 0.50795263; Baja. 
 hoyeneafit invitados leccion inaugural maestria comunicacion transmedia lanzamiento libro labelurl ; j : 651. Sim : 0.46571693; No similar. 
 mclacouture debe hace trabajo coordinado universidad empresa foro larepublicaco labelurl  ; j : 652. Sim : 0.3221951; No similar. 
 rt apgguzman continuacion universidadyempresa apuesta sostenibilidad regional conferencia obduliovp; j : 653. Sim : 0.3973568; No similar. 
 seran 14 producciones blanco negro tomaran pantallas cineclub eafit labelurl labelurl  ; j : 654. Sim : 0.30217463; No similar. 
 hoyeneafit pierdan conferencia urbameafit ciudad desigual entrada libre esperamos  ; j : 655. Sim : 0.38642788; No similar. 
 conferencia clemencia martinez u magdalena modelo eleccion colectiva organizaciones campesinas labe; j : 656. Sim : 0.42783687; No similar. 
 cuaresma tiempo propicio renovarse encuentro cristo vivo palabra sacramentos labelurl  ; j : 657. Sim : 0.33997846; No similar. 
 hoyeneafit cumple segunda jornada congreso nacional representantes estudiantiles represeafit labelu; j : 658. Sim : 0.33981642; No similar. 
 rt ideaantioquia equipo eafit brindamos herramientas gestion publica alcaldes antioquia labelurl  ; j : 659. Sim : 0.329236; No similar. 
 rt admonuniandes webinar tener consideracion internacionalizarse america latina labelurl fecha dici; j : 660. Sim : 0.43701407; No similar. 
 elecciones presidenciales ee uu vacios fracturas tras convencion republicana labelurl labelurl  ; j : 661. Sim : 0.31890175; No similar. 
 reto institucional gigantesco implica mplementacion institucionalidad compleja brucemacmaster elfut; j : 662. Sim : 0.022943607; No similar. 
 hoyeneafit arte juvenil tendra lugar exposicion artistica umbral 17 labelurl labelurl  ; j : 663. Sim : 0.33197477; No similar. 
 manana foro importancia bosques restauracion ecologica esperamos entrada libre  ; j : 664. Sim : 0.5240607; Baja. 
 vale pena cuestionarse si tecnologicamente posibles socialmente deseable n remolina labelurl  ; j : 665. Sim : 0.23392148; No similar. 
 alaire labelurl diego cediel 1130 be pradarodolfo facebook live tiem labelurl  ; j : 666. Sim : 0.3225482; No similar. 
 57 citas empresariales uniandes busca alianzas sector productivo 10ruedatecnnova labelurl labelurl ; j : 667. Sim : 0.15328743; No similar. 
 universidad da bienvenida estudiantes eafitpereira hoy visitan campus medellin labelurl  ; j : 668. Sim : 0.5029607; Baja. 
 intervencion claudia martinez sistemabcol comienza encuentro sistemab emprendimiento proposi labelu; j : 669. Sim : 0.4745553; No similar. 
 hoyeneafit ceremonia premiacion practicas inspiradoras nueva agenda urbana esperamos labelurl  ; j : 670. Sim : 0.53307575; Baja. 
 montesingeniero saludos puede seguir actualizaciones traves pagina cambriaeafit facebook labelurl  ; j : 671. Sim : 0.36767507; No similar. 
 evolucion roles market comunicaciones carlos fernando vega director revistapym labelurl  ; j : 672. Sim : 0.5121607; Baja. 
 fuentes moviles contribuyen mala calidad aire medellin alternativas movernos labelurl  ; j : 673. Sim : 0.16279659; No similar. 
 economia colombiana mas resistente inversion consumo aliciabarcena cepalonu elfuturodecolombia  ; j : 674. Sim : 0.28957582; No similar. 
 denominaciones origen ayudan generar desarrollo territorial vea debate respecto labelurl labelurl  ; j : 675. Sim : 0.1584885; No similar. 
 rt economiauandes documentoestudiantes no2 conceptos basicos explicaciones basicas propuesta parala; j : 676. Sim : 0.31532234; No similar. 
 denominaciones origen ayudan generar desarrollo territorial vea debate respecto labelurl labelurl  ; j : 677. Sim : 0.1584885; No similar. 
 diadelperiodista comunicacion institucional coordinadores comunicacion mario tascon consultor com l; j : 678. Sim : 0.478405; No similar. 
 momento acto posesion mesas directivas grupos estudiantiles eafit vivetusgrupos labelurl  ; j : 679. Sim : 0.38632798; No similar. 
 colombia futuro desarrollo turismo esencial posconflicto mclacouture foro universidadyempresa label; j : 680. Sim : 0.36946806; No similar. 
 pablo navas rector andes habla quinto lugar institucion latamrankings labelurl  ; j : 681. Sim : 0.46760643; No similar. 
 doctrina constitucional colombia mas desarrollada america latina david landau  ; j : 682. Sim : 0.5250388; Baja. 
 rt aliciabarcena elfuturodecolombia gran encuentro esperanzador mundo convulso juanmansantos joseph; j : 683. Sim : 0.15734993; No similar. 
 bosques paz propuesta presento minambienteco eafit restauracion ecologica pais  ; j : 684. Sim : 0.52144194; Baja. 
 manana eafit esperamos inauguracion exposicion arte fotografia historias ciudades labelurl  ; j : 685. Sim : 0.5529796; Baja. 
 bienvenido alfonso sancheztabernero rector unav estara hoy estudiantes comestrategicam labelurl  ; j : 686. Sim : 0.6592363; Baja. 
 dona piso 2 ml puente comunica ml w centro practicas ceuniandino labelurl  ; j : 687. Sim : 0.07943593; No similar. 
 rt inalde minutos iniciara foro universidadyempresa larepublicaco inalde unisabana present labelurl; j : 688. Sim : 0.16830364; No similar. 
 docentes diferentes idiomas reciben periodistas recorren edificio idiomas eafit labelurl  ; j : 689. Sim : 0.21059254; No similar. 
 centro artes eafit tendra 25 abril muestra artistica babel  ; j : 690. Sim : 0.43729842; No similar. 
 hoyeneafit pierdan inauguracion exposicion arte fotografia historias ciudades esperamos labelurl  ; j : 691. Sim : 0.43976167; No similar. 
 consejo superior universidad andes renovo nombramiento pablo navas rector labelurl  ; j : 692. Sim : 0.5654153; Baja. 
 columnas urbanismo deben construir fundamentadas base pasado j sabate analisis labelurl  ; j : 693. Sim : 0.31646207; No similar. 
 rt uniandinosiempr desprecien servicio publico observadores decisiones sociedad queremos vivir  ; j : 694. Sim : 0.29140857; No similar. 
 ahora ensamble vientos departamento musica eafit interpreta himno antioqueno labelurl  ; j : 695. Sim : 0.37112102; No similar. 
 40anos educaunisabana colombia primer congreso directivos docentes liderazgo gestion labelurl  ; j : 696. Sim : 0.41311282; No similar. 
 pablo montoya hablo obra triptico infamia rol jovenes pais labelurl labelurl  ; j : 697. Sim : 0.4396406; No similar. 
 constitucion declara explicitamente derechos fundamentales universales habla mal bien  ; j : 698. Sim : 0.22975434; No similar. 
 educacion valores factor crucial consolidar paz posconflicto rafael tuesca labelurl  ; j : 699. Sim : 0.45572135; No similar. 
 lunes 6 marzo urbameafit espera conferencia reflexiones practicas arquitectura espacio labelurl  ; j : 700. Sim : 0.4380973; No similar. 
 pueden ver campusglobaleafit tema hoy va acabar globalizacion economica  ; j : 701. Sim : 0.35759035; No similar. 
 pueden ver capitulo hoy campusglobaleafit tema nuevo codigo policia  ; j : 702. Sim : 0.3052764; No similar. 
 vocesdeoro orgullounisabana gracias juan pablo luisa dejar alto nombre u labelurl  ; j : 703. Sim : 0.37343723; No similar. 
 vivo inicia transmision destapando olla analisis intervencion bronx veala labelurl  ; j : 704. Sim : 0.41542086; No similar. 
 dejaria fumar si mas caro vivo miercoles 800 be labelurl labelurl  ; j : 705. Sim : 0.3146984; No similar. 
 rector jrestrp congreso internacional migracion debate prioritario agenda internacional labelurl  ; j : 706. Sim : 0.3743672; No similar. 
 rt inguniandes uniandes liderando proyecto systemsthinking socialcybernetics impactar sostenibilida; j : 707. Sim : 0.115908034; No similar. 
 momento cumple ceremonia reconocimiento practicas inspiradoras nueva agenda urbana labelurl  ; j : 708. Sim : 0.31980047; No similar. 
 rt ideaantioquia idea eafit unen capacitar fortalecer competencias alcaldes antioquia labelurl  ; j : 709. Sim : 0.27070186; No similar. 
 rt inguniandes hoy esperando seminario futures promise keep up labelurl discuniandes labelurl  ; j : 710. Sim : 0.25766897; No similar. 
 jueves 9 febrero auditorio fundadores recibira orquesta sinfonica eafit esperamos labelurl  ; j : 711. Sim : 0.51320267; Baja. 
 rt elmundomedellin analizan nivel riesgo laderas medellin labelurl obras eafit labelurl http  ; j : 712. Sim : 0.26690683; No similar. 
 jueves invitamos inauguracion exposicion arte fotografia historias ciudades esperam labelurl  ; j : 713. Sim : 0.38257238; No similar. 
 elca encuesta longitudinal sigue cerca 10 mil familias colombianas labelurl labelurl  ; j : 714. Sim : 0.07344465; No similar. 
 yago cierva casos crisis reputacioncorporativa jornada academica inalde comsabana45anos labelurl  ; j : 715. Sim : 0.24420221; No similar. 
 parte inequidad debe acumulacion inequidades causadas mala distribucion regalias labelurl  ; j : 716. Sim : 0.20853019; No similar. 
 temas democracia encuestas demuestran polarizacion politica consolida pais miguel g labelurl  ; j : 717. Sim : 0.39896572; No similar. 
 analisis academia docentes eafit hablan situacion actual politica mundial labelurl  ; j : 718. Sim : 0.51843023; Baja. 
 invitamos manana lanzamiento observatorio competitividad oriente antioqueno entrada libre labelurl ; j : 719. Sim : 0.3874901; No similar. 
 penalosa afirma ahorro construccion metro elevado compensan gastos estudios  ; j : 720. Sim : 0.06819338; No similar. 
 rector eafit decano escuela cienciaseafit invitan induccion estudiantes posgrado labelurl  ; j : 721. Sim : 0.49911126; No similar. 
 reconciliacion presencia policia territorios sera clave transicion hacia paz labelurl  ; j : 722. Sim : 0.54514307; Baja. 
 hoyeneafit entregaron diplomas doble titulacion maestria gerencia empresas sociales labelurl  ; j : 723. Sim : 0.34458575; No similar. 
 semana eafit esperamos presentacion informe nacional competitividad 20162017 entrada  ; j : 724. Sim : 0.513296; Baja. 
 graduado inalde nuevo presidente general motor chile peru bolivia labelurl  ; j : 725. Sim : 0.42132393; No similar. 
 feyculturas realizara hoy acto memoria padre horacio arango arango labelurl  ; j : 726. Sim : 0.48875898; No similar. 
 urbameafit invita conferencia reflexiones practicas arquitectura espacio publico ecuador labelurl  ; j : 727. Sim : 0.40655497; No similar. 
 asumo vida nutresa viaje empresas navegacion liderazgo estrategia tactica  ; j : 728. Sim : 0.37238935; No similar. 
 direccioncentraldeestudiantes nueva generacion medicos medicinasabana comienza vida universitaria b; j : 729. Sim : 0.40725854; No similar. 
 comenzo eafit inauguracion datapol laboratorio datos metodos analisis politico labelurl  ; j : 730. Sim : 0.46970853; No similar. 
 procedimientoabreviado responde sociedad invita resolver asuntos delincuencia comun form labelurl  ; j : 731. Sim : 0.21020126; No similar. 
 desafios manejo vih hepatitis virales lanzamiento maestria salud publica labelurl labelurl  ; j : 732. Sim : 0.20650534; No similar. 
 semana eafit medellin seran sede pensamiento economico lacealames16 lacealames2016 labelurl  ; j : 733. Sim : 0.5594474; Baja. 
 desafios manejo vih hepatitis virales lanzamiento maestria salud publica labelurl labelurl  ; j : 734. Sim : 0.20650534; No similar. 
 rector eafit decano escuela humanidades invitan induccion estudiantes posgrado labelurl  ; j : 735. Sim : 0.49170935; No similar. 
 rt ctaunisabana estudiante maestria informatica educativa presento proyecto pensamiento computacion; j : 736. Sim : 0.33524752; No similar. 
 carcajada equivalente 40 45 minutos eliptica rian drpalacios14 dementescuriosas  ; j : 737. Sim : 0.20537676; No similar. 
 vivo siga transmision destapando olla analisis intervencion bronx veala labelurl  ; j : 738. Sim : 0.42205963; No similar. 
 rt portafolioverde olviden charlas eafit foromovil ciclosiete hoy manana medellin labelurl  ; j : 739. Sim : 0.5233881; Baja. 
 ahora invitamos centro artes eafit exposicion maestro jorge cardenas labelurl  ; j : 740. Sim : 0.53925085; Baja. 
 eafit prepara curso regional capacitacion cuestiones agenda economica internacional labelurl  ; j : 741. Sim : 0.42909184; No similar. 
 universidad debe hacer presencia rede altura universitaria mwassermannl encuentromedios labelurl  ; j : 742. Sim : 0.38232082; No similar. 
 zoologico matusalen animales casi miticos viven mas tiempo usual labelurl labelurl  ; j : 743. Sim : 0.10308021; No similar. 
 consolidar pilares universidad requiere innovacion pensar distinto actuar distinto labelurl  ; j : 744. Sim : 0.23446642; No similar. 
 hacemos ciudad hacemos medio lograr manera vivir enrique penalosa  ; j : 745. Sim : 0.2790611; No similar. 
 colombia 2 productor flores mundial asi analizaron expertos futuro industria labelurl labelurl  ; j : 746. Sim : 0.26029012; No similar. 
 tarde entender gente busca prueba fisicamente enferma solo subconsciente labelurl  ; j : 747. Sim : 0.1832142; No similar. 
 hoy urnas decide rumbo unidos profesores eafit analizan tema labelurl  ; j : 748. Sim : 0.38177627; No similar. 
 rt bogoshorts damos inicio nuevo bogoshortssessions plaza cai uniandes culturauniandes labelurl  ; j : 749. Sim : 0.2686741; No similar. 
 gran error cometimos montamos fiesta bonanza materias primas ivanduque labelurl  ; j : 750. Sim : 0.09797051; No similar. 
 documento ungass2016 explicitamente reconoce derechos nino aldolale unodc foroungasscol  ; j : 751. Sim : 0.29846713; No similar. 
 paraleer nuevo articulo rector mantillaignacio habla autonomia universitaria labelurl elespectador ; j : 752. Sim : 0.5517529; Baja. 
 hace siglo presento himno antioquia eafit conmemora estan invitados labelurl labelurl  ; j : 753. Sim : 0.3680074; No similar. 
 alaire carlos arevalo profesor maestriaderintl habla labelurl similitud plebiscitoporlapaz brexit  ; j : 754. Sim : 0.23337188; No similar. 
 saber vida eafit cuenta participacion 317 asistentes seminario triptico labelurl  ; j : 755. Sim : 0.36060336; No similar. 
 primera vez pais entendimos riesgo discrimina estratos sociales riesgo labelurl  ; j : 756. Sim : 0.12816025; No similar. 
 erika valero kirsty lang hablan momento periodismo eafit haymedellin17 labelurl  ; j : 757. Sim : 0.30868888; No similar. 
 rotara pico placa eafit 8 agosto recuerden operara dia institucion labelurl  ; j : 758. Sim : 0.40731403; No similar. 
 obduliovp habla claudiapalacios directora canalcapital universidad posconflicto paz colombia labelu; j : 759. Sim : 0.4683633; No similar. 
 graduados curso entregan placa agradecimiento rector juan luis mejia labelurl  ; j : 760. Sim : 0.6493124; Baja. 
 rotara pico placa eafit 8 agosto recuerden operara dia institucion labelurl  ; j : 761. Sim : 0.40731403; No similar. 
 8 9 junio realiza eafit xii congreso internacional logistica supply chain labelurl  ; j : 762. Sim : 0.32987225; No similar. 
 doctor fernando lizcano losada medicinasabana nuevo profesor titular unisabana labelurl  ; j : 763. Sim : 0.25474104; No similar. 
 rector eafit decano escuela derecho invitan induccion estudiantes posgrado labelurl  ; j : 764. Sim : 0.47656998; No similar. 
 nuevo articulo rector mantillaignacio elespectador valor vida medida libros labelurl  ; j : 765. Sim : 0.4083529; No similar. 
 congreso traves avances tendencias demuestra importancia supply chain industria labelurl  ; j : 766. Sim : 0.20032468; No similar. 
 rector jrestrp invita minutos primer debateplebiscitour eltiempo vivo aquilabelurl labelurl  ; j : 767. Sim : 0.31807065; No similar. 
 rt andreschiappe desafiosenlau inicia vi semana inmersion tecnologica unisabana ctaunisabana  ; j : 768. Sim : 0.16895744; No similar. 
 rt comsabana hoy mundo comunicacion rapido vertiginoso preparados apgguzman comestrategicam  ; j : 769. Sim : 0.32584178; No similar. 
 article onlinejournalism sensationalism socialmedia victorgap comsabana unisabana rsalaverria unav ; j : 770. Sim : 0.18397689; No similar. 
 rector eafit decano escuela administracion invitan induccion estudiantes posgrado labelurl  ; j : 771. Sim : 0.55587226; Baja. 
 si graduado vives cucuta invitamos encuentro alumnisabana rector obduliovp labelurl  ; j : 772. Sim : 0.50828856; Baja. 
 yago cierva habla casos estudio crisis comunicacion comsabana45anos comsabana labelurl  ; j : 773. Sim : 0.10298374; No similar. 
 salud mecanismo concertacion part asi demostrado historia guerrasjose ruales labelurl  ; j : 774. Sim : 0.3635555; No similar. 
 marcas contrabandodecigarrillo tambien posicionan razones diferentes precio blanca llorente labelur; j : 775. Sim : 0.07701865; No similar. 
 vivo investigaciones paz participacion ciudadana universidad postconflicto via ceuniandino labelurl; j : 776. Sim : 0.43948287; No similar. 
 pierdas experto internacional fernando torrijos conferencia mindfulness cambia cerebro labelurl  ; j : 777. Sim : 0.32114324; No similar. 
 rt comsabana seguimos auditorio k1 unisabana leccioninaugural comestrategicam rector unav labelurl ; j : 778. Sim : 0.30582383; No similar. 
 momento eafitbogota recibe nuevos estudiantes posgrado capital bienvenidos eafit labelurl  ; j : 779. Sim : 0.39144635; No similar. 
 si comprometemos reducir deuda pais va ver situacion dificilcharoguerra labelurl  ; j : 780. Sim : 0.26842013; No similar. 
 rt comestrategicam profesional comunicacion influye estrategia compania rector unav comestrategicam; j : 781. Sim : 0.39594588; No similar. 
 momento vive ceremonia grado pregrado administracion negocios pueden seguirla labelurl  ; j : 782. Sim : 0.2937837; No similar. 
 rt laciudadverde amigos medellin esperamos hoy otraparte gran evento eafit labelurl  ; j : 783. Sim : 0.49260548; No similar. 
 siguen pensando derecho contaminar crecer generar consumo cadenagaitan ciclosiete labelurl  ; j : 784. Sim : 0.091378964; No similar. 
 gracias instituciones ayudan lideres hacer cambios ciudades elkin velasquez labelurl  ; j : 785. Sim : 0.28061992; No similar. 
 picnic amor mascotas 25 septiembre 1000 be hacienda noviciado labelurl labelurl  ; j : 786. Sim : 0.33387727; No similar. 
 articulo viernes 5 habilidades inteligencia emocional podemos desarrollar via lafamiliainfo labelur; j : 787. Sim : 0.21915951; No similar. 
 invitacion participar semana bienestar realizara 18 21 octubre bienestareafit labelurl  ; j : 788. Sim : 0.42674577; No similar. 
 inicia intervencion thania paffenholz graduate institute of geneva investigacionesparalapaz  ; j : 789. Sim : 0.43843868; No similar. 
 inscribete asistir nueva sesion debatesun miercoles 9 noviembre labelurl uncolombia sectorsalud  ; j : 790. Sim : 0.42228907; No similar. 
