Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario inconvenientes 2018 2017 eeuu ofrecemos disculpas 2016 2014 2015 inflacion marzo 
 informe diario mayo 26 2015 ordenes bienes durables eeuu caen 05 mm abril revierten alza marzo labe; j : 1. Sim : 0.61689544; Baja. 
 tambien joseantonioocampo propone promover inclusion productiva medio politicas basadas intercam la; j : 645. Sim : 0.19170101; No similar. 
 informe diario marzo 18 2019 comercio exterior eurozona debilito eneronlabelurl  ; j : 646. Sim : 0.46264455; No similar. 
 comentario fiscal junio 18 2013 marco fiscal mediano plazo 2014 labelurl  ; j : 647. Sim : 0.3604609; No similar. 
 planetaazul necesario conozcas cuanto tiempo tardan descomponerse residuos ejemplo sabia labelurl  ; j : 648. Sim : 0.04697275; No similar. 
 informe semanal diciembre 12 2016 ajuste cuentas resumen proyecciones 2017nlabelurl  ; j : 649. Sim : 0.5248543; Baja. 
 informe diario julio 11 2018 alberto carrasquilla sera ministro haciendanlabelurl  ; j : 650. Sim : 0.5708142; Baja. 
 jaocampo si adoptado politicas anticiclicas auge politicas prociclicas inevitables crisis  ; j : 651. Sim : 0.3666443; No similar. 
 geryances aumento precio metal mercados internacionales incrementado costo produccion monedas label; j : 652. Sim : 0.21213785; No similar. 
 jaocampo demanda interna tendencia alza moderada 2017 consumo hogares si labelurl  ; j : 653. Sim : 0.22173414; No similar. 
 si firmas manufactureras menos productivas incrementaran productividad promedio sector producci lab; j : 654. Sim : 0.15094611; No similar. 
 informe diario septiembre 4 2017 exportaciones crecieron 376 aa julionlabelurl  ; j : 655. Sim : 0.48302743; No similar. 
 informe diario diciembre 4 2018 ipp contrajo 157 mm noviembre labelurl  ; j : 656. Sim : 0.48690826; No similar. 
 informe diario diciembre 4 2018 ipp contrajo 157 mm noviembrenlabelurl  ; j : 657. Sim : 0.44727087; No similar. 
 informe diario septiembre 24 2018 petroleo toco maximos 2014 labelurl  ; j : 658. Sim : 0.6092036; Baja. 
 informe diario febrero 6 2018 eeuu deficit comercial aumento diciembrenlabelurl  ; j : 659. Sim : 0.6213196; Baja. 
 informe diario febrero 6 2019 deficit comercial eeuu redujo noviembrenlabelurl  ; j : 660. Sim : 0.6027658; Baja. 
 informe diario septiembre 24 2018 petroleo toco maximos 2014nlabelurl  ; j : 661. Sim : 0.5934901; Baja. 
 informe diario septiembre 5 2018 eeuu deficit comercial aumento julionlabelurl  ; j : 662. Sim : 0.6494061; Baja. 
 informe renta fija agosto 30 2017 rebaja descontada nlabelurl  ; j : 663. Sim : 0.3798787; No similar. 
 informe diario octubre 5 2017 eeuu deficit comercial redujo agostonlabelurl  ; j : 664. Sim : 0.68267506; Media. 
 informe diario febrero 6 2019 deficit comercial eeuu redujo noviembrenlabelurl  ; j : 665. Sim : 0.6027658; Baja. 
 informe diario diciembre 11 2018 ipp eeuu desacelero noviembrenlabelurl  ; j : 666. Sim : 0.59019554; Baja. 
 informe diario marzo 4 2019 exportaciones cayeron 78 aa eneronlabelurl  ; j : 667. Sim : 0.40629295; No similar. 
 informe diario abril 4 2017 reduce deficit comercial eeuu febreronlabelurl  ; j : 668. Sim : 0.6748793; Media. 
 informe diario febrero 7 2017 deficit comercial eeuu disminuye diciembrenlabelurl  ; j : 669. Sim : 0.6624633; Baja. 
 informe diario abril 5 2018 eeuu deficit comercial aumento febreronlabelurl  ; j : 670. Sim : 0.6343426; Baja. 
 informe diario julio 6 2016 deficit comercial eeuu aumento mayonlabelurl  ; j : 671. Sim : 0.62870085; Baja. 
 informe diario agosto 8 2018 escalan tensiones comerciales eeuu chinanlabelurl  ; j : 672. Sim : 0.59773844; Baja. 
 informe diario diciembre 11 2018 ipp eeuu desacelero noviembrenlabelurl  ; j : 673. Sim : 0.59019554; Baja. 
 informe diario diciembre 5 2017 eeuu deficit comercial aumento octubrenlabelurl  ; j : 674. Sim : 0.6551148; Baja. 
 informe renta fija diciembre 26 2016 corporativos verde nlabelurl  ; j : 675. Sim : 0.2868207; No similar. 
 informe diario marzo 7 2018 eeuu deficit comercial aumento eneronlabelurl  ; j : 676. Sim : 0.6458323; Baja. 
 informe diario febrero 5 2019 exportaciones disminuyeron 146 aa diciembrenlabelurl  ; j : 677. Sim : 0.39842615; No similar. 
 informe diario agosto 9 2017 eeuu inventarios petroleo disminuyen mas esperadonlabelurl  ; j : 678. Sim : 0.66485804; Baja. 
 informe diario marzo 7 2017 eeuu deficit comercial aumento eneronlabelurl  ; j : 679. Sim : 0.6699407; Baja. 
 informe diario enero 25 2017 aumento inventarios petroleo eeuunlabelurl  ; j : 680. Sim : 0.63014215; Baja. 
 informe diario marzo 19 2019 icc terreno negativo septiembrenlabelurl  ; j : 681. Sim : 0.35030892; No similar. 
 informe diario octubre 17 2018 ventas menor repuntan agosto labelurl  ; j : 682. Sim : 0.5756294; Baja. 
 informe diario octubre 17 2018 ventas menor repuntan agostonlabelurl  ; j : 683. Sim : 0.546012; Baja. 
 informe diario junio 6 2017 eurozona ventas menor desaceleran abrilnlabelurl  ; j : 684. Sim : 0.50667053; Baja. 
 informe diario marzo 19 2019 icc terreno negativo septiembrenlabelurl  ; j : 685. Sim : 0.35030892; No similar. 
 informe diario junio 16 2016 inflacion ipc eeuu desaceleranlabelurl  ; j : 686. Sim : 0.74651027; Media. 
 informe diario enero 30 2017 inflacion eeuu continua repuntandonlabelurl  ; j : 687. Sim : 0.7163939; Media. 
 informe diario enero 9 2018 eurozona tasa desempleo redujo noviembrenlabelurl  ; j : 688. Sim : 0.5548172; Baja. 
 informe diario mayo 2 2018 feed mantuvo inalterada tasa interesnlabelurl  ; j : 689. Sim : 0.46163484; No similar. 
 informe semanal diciembre 15 2014 tormenta expectativa pib 3t14 labelurl  ; j : 690. Sim : 0.49586186; No similar. 
 informe diario febrero 8 2017 inventarios petroleo eeuu maximo historiconlabelurl  ; j : 691. Sim : 0.70326126; Media. 
 informe diario julio 18 2018 inventarios petroleo aumentaron eeuunlabelurl  ; j : 692. Sim : 0.58216894; Baja. 
 informe diario marzo 15 2017 feed incrementa tasa interesnlabelurl  ; j : 693. Sim : 0.539695; Baja. 
 informe renta fija marzo 31 2015 menos pib mas deficit labelurl  ; j : 694. Sim : 0.4218551; No similar. 
 informe diario junio 21 2017 precio petroleo continua cayendonlabelurl  ; j : 695. Sim : 0.61003673; Baja. 
 informe mercado septiembre 2018ndurante septiembre rentabilidades portafolios pension voluntaria la; j : 696. Sim : 0.4260088; No similar. 
 informe diario marzo 9 2017 bce mantuvo inalterada politica monetarianlabelurl  ; j : 697. Sim : 0.6678498; Baja. 
 informe diario abril 7 2014 mercado mantiene expectativa minutas feed labelurl  ; j : 698. Sim : 0.49226108; No similar. 
 informe diario noviembre 8 2016 produccion industrial desacelero reino unido labelurl  ; j : 699. Sim : 0.4543094; No similar. 
 informe diario enero 4 2017 eurozona inflacion registro maximo 2013nlabelurl  ; j : 700. Sim : 0.62809837; Baja. 
 informe diario septiembre 1 2016 sector manufacturero eeuu debilito agostonlabelurl  ; j : 701. Sim : 0.6086736; Baja. 
 informe diario febrero 2 2017 colombia exportaciones alcanza maximos 2011nlabelurl  ; j : 702. Sim : 0.6204525; Baja. 
 informe diario julio 19 2017 importaciones colombia crecieron 4 mayonlabelurl  ; j : 703. Sim : 0.52264476; Baja. 
 informe diario abril 15 2014 expectativa crecimiento 1t14 china labelurl  ; j : 704. Sim : 0.49984646; No similar. 
 informe diario febrero 22 2018 consumo hogares desacelero 4t17nlabelurl  ; j : 705. Sim : 0.56885284; Baja. 
 informe diario marzo 26 2018 mercados acciones eeuu recuperaronnlabelurl  ; j : 706. Sim : 0.61446965; Baja. 
 informe diario agosto 3 2017 boe mantiene politica monetaria inalteradanlabelurl  ; j : 707. Sim : 0.64325047; Baja. 
 informe mercado noviembre 2018nndurante noviembre rentabilidad portafolios pension voluntarias labe; j : 708. Sim : 0.414003; No similar. 
 informe diario junio 7 2016 crecimiento eurozona 1t16 revisado alza labelurl  ; j : 709. Sim : 0.5583785; Baja. 
 eventosclavedelajornadanchina 2100 ventas minoristas julnchina 2100 produccion industrial julnconoc; j : 710. Sim : 0.27633497; No similar. 
 informe diario octubre 8 2018 inflacion alimentos nivel mas bajo 2015nlabelurl  ; j : 711. Sim : 0.48685855; No similar. 
 informe diario octubre 8 2018 inflacion alimentos nivel mas bajo 2015 labelurl  ; j : 712. Sim : 0.5500178; Baja. 
 informe diario septiembre 13 2016 crecimiento demanda petroleo desaceleranlabelurl  ; j : 713. Sim : 0.63668907; Baja. 
 informe diario mayo 22 2017 mercados expectativa reunion opep labelurl  ; j : 714. Sim : 0.5899259; Baja. 
 informe diario febrero 6 2017 sector servicios desacelera enero chinanlabelurl  ; j : 715. Sim : 0.5621013; Baja. 
 informe diario abril 28 2016 economia eeuu desacelero 1t16 labelurl  ; j : 716. Sim : 0.67723966; Media. 
 informe diario marzo 20 2019 feed ve incrementos anonlabelurl  ; j : 717. Sim : 0.4410925; No similar. 
 informe diario enero 2 2018 eeuu sector manufacturero expande diciembrenlabelurl  ; j : 718. Sim : 0.6000855; Baja. 
 informe diario marzo 20 2019 feed ve incrementos anonlabelurl  ; j : 719. Sim : 0.4410925; No similar. 
 informe diario julio 6 2017 nominas adp eeuu debajo expectativasnlabelurl  ; j : 720. Sim : 0.66378564; Baja. 
 informe diario febrero 14 2019 moodys ley financiamiento insuficientenlabelurl  ; j : 721. Sim : 0.46901208; No similar. 
 informe diario marzo 5 2018 petroleo subio 2 tras publicacion aienlabelurl  ; j : 722. Sim : 0.62194574; Baja. 
 informe mercado abrilndurante mes abril rentabilidad portafolios pension voluntarias labelurl  ; j : 723. Sim : 0.40679783; No similar. 
 informe diario febrero 14 2019 moodys ley financiamiento insuficientenlabelurl  ; j : 724. Sim : 0.46901208; No similar. 
 informe diario mayo 16 2016 industria colombia desacelero marzo labelurl  ; j : 725. Sim : 0.5917642; Baja. 
 informe diario octubre 23 2018 fuerte retroceso precios petroleonlabelurl  ; j : 726. Sim : 0.4695418; No similar. 
 informe diario marzo 1 2018 deficit cuenta corriente disminuyo 2017nlabelurl  ; j : 727. Sim : 0.54454327; Baja. 
 informe diario octubre 23 2018 fuerte retroceso precios petroleonlabelurl  ; j : 728. Sim : 0.4695418; No similar. 
 informe inflacion febrero 17 2017 primeros efectos tributaria nlabelurl  ; j : 729. Sim : 0.5658397; Baja. 
 publicaciones informe especial estabilidadfinanciera segundo semestre 2017 riesgo mercado labelurl ; j : 730. Sim : 0.3204806; No similar. 
 blaa conversamos juez sudafricano richard goldstone sejep justicia transicion labelurl  ; j : 731. Sim : 0.29859677; No similar. 
 informe semanal enero 9 2018 gestion pasiva mercado capitales colombianonlabelurl  ; j : 732. Sim : 0.47630125; No similar. 
 bvccolombia aestahora acciones suben bvccolombia nnconconcreto 377ncnec 171ncorficolombiana 112 lab; j : 733. Sim : 0.30162638; No similar. 
 bvccolombia aestahora acciones suben bvccolombia nncemexcolombia 442ncorficolombiana 125necopetrols; j : 734. Sim : 0.23479429; No similar. 
 informe diario julio 5 2017 colombia fuerte incremento exportaciones mayonlabelurl  ; j : 735. Sim : 0.5459009; Baja. 
 bvccolombia aestahora acciones suben bvccolombia nnconconcreto 377ncnec 171ncorficolombiana 112 lab; j : 736. Sim : 0.30162638; No similar. 
 inflacion primer semestre observaron presiones demanda precios canasta alimento labelurl  ; j : 737. Sim : 0.2506213; No similar. 
 joseantonioocampo senala inflacion tendencia positiva 2017 consolidara 2018 poli labelurl  ; j : 738. Sim : 0.3843947; No similar. 
 top3deimpactoeconomicon1reino unido muestra signos debilidad acompanado brexit acuerdon2la infl lab; j : 739. Sim : 0.057939846; No similar. 
 publicacion dtseru 262 jaimebonet gerson javier perez valbuena financiamientopublicolocal labelurl ; j : 740. Sim : 0.34962168; No similar. 
 uranrigoberto conversatorio creoenmi aseguro cada objetivo trazo acompano peque labelurl  ; j : 741. Sim : 0.24785243; No similar. 
 univallecol joseantonioocampo afirma sintomas reactivacion inflacion toco fondo ajuste labelurl  ; j : 742. Sim : 0.413299; No similar. 
 uranrigoberto conversatorio creoenmi aseguro cada objetivo trazo acompano peque labelurl  ; j : 743. Sim : 0.24785243; No similar. 
 top3deimpactoeconomicon1ganancias industriales chinas retroceden 18mm noviembre respecto ano pasado; j : 744. Sim : 0.35633928; No similar. 
 banrepcultural blaanconversamos juez sudafricano richard goldstone justicia transicion lapazsetomal; j : 745. Sim : 0.25960582; No similar. 
 maiguashca serfinansacol sintomas factor inerciales inflacion ido disipandonla inflacion c labelurl; j : 746. Sim : 0.3993436; No similar. 
 top3deimpactoeconomicon1cae inflacion china septimo mes consecutivon2caen ventas minoristas eeuu la; j : 747. Sim : 0.40613693; No similar. 
 informe diario agosto 21 2018 minhacienda replanteara prioridades pgnnlabelurl  ; j : 748. Sim : 0.49700052; No similar. 
 top3deimpactoeconomicon1cae actividad sector servicios eeuu minimos seis mesesn2aumenta infl labelu; j : 749. Sim : 0.20946701; No similar. 
 informe diario agosto 30 2018 moneda argentina maxima tensionnlabelurl  ; j : 750. Sim : 0.46510038; No similar. 
 estadisticas meta inflacion inflacion basica actualizado 07112017 1200 pm labelurl labelurl  ; j : 751. Sim : 0.4218791; No similar. 
 informe diario noviembre 2 2016 feed prepara alza tasas diciembre labelurl  ; j : 752. Sim : 0.56676054; Baja. 
 produccion combustibles casi paralizada reficarperdidas 12 millones dolares diarios labelurl  ; j : 753. Sim : 0.3177185; No similar. 
 gonchicol aumento precio metal mercados internacionales incrementado costo produccion m labelurl  ; j : 754. Sim : 0.15382503; No similar. 
 luego informe senalaba gobierno italianoestaria dispuesto disminuir gasto deficitar labelurl  ; j : 755. Sim : 0.4333603; No similar. 
 mes mayo rentabilidad portafolios pension voluntarias porvenir vieron beneficiad labelurl  ; j : 756. Sim : 0.3058625; No similar. 
 informesobreinflacion medidas inflacion basica encuentran dentro rango 24 expectativas labelurl  ; j : 757. Sim : 0.3594208; No similar. 
 encuesta nomura senala latam mas afectada triunfo trump copusd 3100 labelurl  ; j : 758. Sim : 0.32939613; No similar. 
 informe diario enero 5 2017 espera estabilidad generacion empleo eeuunlabelurl  ; j : 759. Sim : 0.55112934; Baja. 
 informe semanal agosto 14 2017 debil crecimiento economico nlabelurl  ; j : 760. Sim : 0.56907487; Baja. 
 100 recicladores alcaldiadesopo veran beneficiados actividad reciclaje meta recoger labelurl  ; j : 761. Sim : 0.029978614; No similar. 
 ana fernanda maiguashca blockchain potencial base tecnologica funcionamiento bitc labelurl  ; j : 762. Sim : 0.23714095; No similar. 
 davidvalenciac senor valenciansegun constitucion principal objetivo banco republica preserva labelu; j : 763. Sim : 0.26039907; No similar. 
 eventosclavedelajornadademanananeeuu 1300 reunion politica monetaria fedn eeuu 930 inventarios labe; j : 764. Sim : 0.4973474; No similar. 
 bseminariosbanrep codirectores ana fernanda maiguashca gerardohernandez tendran panel introduccion ; j : 765. Sim : 0.39128712; No similar. 
 chinaestaria planeando reducir tasa promedio aranceles importaciones provenientes mayoria d labelur; j : 766. Sim : 0.26158157; No similar. 
 delegado75 respetado ahora realizado tres seminarios evaluando periodicidad adecuada labelurl  ; j : 767. Sim : 0.10543919; No similar. 
 informe diario mayo 5 2016 peticiones subsidio desempleo eeuu aumentan labelurl  ; j : 768. Sim : 0.67741555; Media. 
 banrepcultural 4 anos negociaciones 10mil 20mil muertes richard goldstone lapazsetomalapalabra labe; j : 769. Sim : 0.33401778; No similar. 
 cuanto mercado laboral presentaron cambios importancia tasa desempleo primeros labelurl  ; j : 770. Sim : 0.18704826; No similar. 
 edwinhsua porveniroficial avancemosjuntos equipoporvenir2019 mejores atletas representaran certamen; j : 771. Sim : 0.07589213; No similar. 
 bancorepublica patrocina posgrados universidades extranjeras reconocida excelencia academica cursar; j : 772. Sim : 0.15453921; No similar. 
 edwinhsua porveniroficial avancemosjuntos equipoporvenir2019 mejores atletas representaran certamen; j : 773. Sim : 0.07589213; No similar. 
 informe diario octubre 20 2016 gobierno radica reforma tributarianlabelurl  ; j : 774. Sim : 0.5639588; Baja. 
 informe semanal septiembre 12 2016 avance regulacion financiera nlabelurl  ; j : 775. Sim : 0.51943505; Baja. 
 top3deimpactoeconomicon1cae actividad fabril china segundo mes consecutivon2la economia mexico s la; j : 776. Sim : 0.21459003; No similar. 
 informe diario febrero 9 2017 peticiones subsidios desempleo alcanzan minimonlabelurl  ; j : 777. Sim : 0.52211004; Baja. 
 adolfomeisel agrega ganancia bienestar biologico poblacion colombiana coincide disminuc labelurl  ; j : 778. Sim : 0.28988004; No similar. 
 2018 percibio mejor entorno internacional recuperacion terminos intercambio apoyaran labelurl  ; j : 779. Sim : 0.3408782; No similar. 
 informe diario junio 8 2016 datos encuesta jolt eeuu mixtos labelurl  ; j : 780. Sim : 0.6218047; Baja. 
 eventosclavedelajornadademananancolombia 1000 balanza comercial agosto china 2100 crecimiento pib  ; j : 781. Sim : 0.3387139; No similar. 
 investigacionesbanrep borrador economia 1050 analiza rol distancia lugares produc labelurl  ; j : 782. Sim : 0.19864781; No similar. 
 publicacionesbanrep informe especial estabilidadfinanciera segundo semestre 2017 riesgo credito lab; j : 783. Sim : 0.33631918; No similar. 
 dentro panel congresofiapasofondos tambien destaco importancia desarrollar mercado capitales labelu; j : 784. Sim : 0.20135367; No similar. 
 informe renta fija noviembre 28 2016 cambio plan nlabelurl  ; j : 785. Sim : 0.39683163; No similar. 
 informesobreinflacion relacion nueva canasta danecolombia considero inflacion sera mas estab labelu; j : 786. Sim : 0.31116852; No similar. 
 aprendamosmas mantener programas equipos actualizados antivirus vigente reconocido ayudara labelurl; j : 787. Sim : 0.14232683; No similar. 
 informesobreinflacion relacion nueva canasta danecolombia considero inflacion sera mas estab labelu; j : 788. Sim : 0.31116852; No similar. 
 aprendamosmas mantener programas equipos actualizados antivirus vigente reconocido ayudara labelurl; j : 789. Sim : 0.14232683; No similar. 
 visualices asi sera 2019 lleno logros suenos positivismo felizano labelurl  ; j : 790. Sim : 0.21480446; No similar. 
 bseminariosbanrep proximo 5 julio bancorepublica organiza seminario alternativas reforma pensiona l; j : 791. Sim : 0.3349482; No similar. 
 nicodgf2005 senadorhonesto existen varios procesos legales arquitectonicos logisticos deb labelurl ; j : 792. Sim : 0.21762434; No similar. 
 analisisfundam importante cuenta reunion junta directiva banrep febrero 23 labelurl  ; j : 793. Sim : 0.2678387; No similar. 
 jaocampo todas maneras reduccion endeudamiento externo neto constituye fortaleza  ; j : 794. Sim : 0.17956698; No similar. 
 reportesdelemisor reporte mercado laboral 8 diciembre 2018 presenta empleo asalar labelurl  ; j : 795. Sim : 0.38882047; No similar. 
 bbanrepeduca banca escolar banca central apoyo 5 facultades economia urosario labelurl  ; j : 796. Sim : 0.15968655; No similar. 
 carrillonavasg superfinanciera stepha18 mahomiescol ferlofranco991 aleinadyo joselohr83 kimrivasp i; j : 797. Sim : 0.10319946; No similar. 
 publicaciones reportesdelemisor 220 mapeo iniciativas educacion economica financiera colombia label; j : 798. Sim : 0.3996094; No similar. 
 congreso adicomexm maiguashca senalo inflacion convergido meta 3 aun iner labelurl  ; j : 799. Sim : 0.4247329; No similar. 
 binvestigacionesbanrep intervencion cambiaria credito domestico evidencia microdata alta frecuencia; j : 800. Sim : 0.35825843; No similar. 
 informealcongreso bancorepublica muestra ajuste deficit cuenta corriente paso 64 labelurl  ; j : 801. Sim : 0.25671834; No similar. 
 anifco reformas funcionamiento afp rentabilidad minima regulacion inversiones necesari labelurl  ; j : 802. Sim : 0.3172904; No similar. 
 ben marco globalmoneyweek banco republica desarrollado actividades taller alcancia labelurl  ; j : 803. Sim : 0.231294; No similar. 
 informe junta bancorepublica congreso profundiza comportamiento mercado laboral inflaci labelurl  ; j : 804. Sim : 0.37825894; No similar. 
 carlosaugurojas mury800 hola carlos nuevamente tramitando ministerio hacienda bono pensiona labelur; j : 805. Sim : 0.3166438; No similar. 
 mercado local presento movimientos postivos economia colombiana conozcalos aqui  ; j : 806. Sim : 0.21324381; No similar. 
 tipdeldia pidas credito busca plazo financiamiento mayor periodo recuperacion l labelurl  ; j : 807. Sim : 0.26514623; No similar. 
 alpuntojl precios alimentos hecho mejor comportando inflacion alimentos 1 jose  ; j : 808. Sim : 0.31127036; No similar. 
 informe diario octubre 11 2017 divisiones comite feed inflacionnlabelurl  ; j : 809. Sim : 0.5360329; Baja. 
 yasg007 yeffer segun comentas factura tenia corte pasado sabado  ; j : 810. Sim : 0.35319957; No similar. 
 elchucaro1972 andyphir cnvargentina nicodujovne alemac65 igispem auditoriaagn nanitaazpillaga label; j : 811. Sim : 0.15096699; No similar. 
 informe semanal agosto 16 2016 regla fiscal 2016nlabelurl  ; j : 812. Sim : 0.42498273; No similar. 
 monitor fiscal septiembre 11 2017 cronica iliquidez anunciadanlabelurl  ; j : 813. Sim : 0.45427665; No similar. 
 informe diario agosto 14 2018 importaciones aceleran junio labelurl  ; j : 814. Sim : 0.5842334; Baja. 
 informe renta fija agosto 23 2016 exuberancia irracionalnlabelurl  ; j : 815. Sim : 0.31705773; No similar. 
 informe renta fija diciembre 27 2015 continuando transicionnlabelurl  ; j : 816. Sim : 0.32355437; No similar. 
 informe diario agosto 8 2017 china exportaciones desaceleraron julionlabelurl  ; j : 817. Sim : 0.5604277; Baja. 
 informe semanal septiembre 11 2017 eeuu viento llevonlabelurl  ; j : 818. Sim : 0.5679635; Baja. 
 informe diario noviembre 8 2017 indices accionarios eeuu valorizaronnlabelurl  ; j : 819. Sim : 0.6783445; Media. 
 informe diario agosto 16 2018 icc desacelera julio labelurl  ; j : 820. Sim : 0.5622456; Baja. 
 informe renta variable febrero 17 2016 desacoplamiento sectorial labelurl  ; j : 821. Sim : 0.40367165; No similar. 
 informe semanal octubre 26 2015 eurozona marcas listosnlabelurl  ; j : 822. Sim : 0.4578864; No similar. 
 informe diario octubre 10 2018 wall street bajanlabelurl  ; j : 823. Sim : 0.45972726; No similar. 
 informe diario febrero 5 2019 exportaciones disminuyeron 146 diciembrenlabelurl  ; j : 824. Sim : 0.41280913; No similar. 
 informe renta fija octubre 22 2015 apreton uniconlabelurl  ; j : 825. Sim : 0.3703535; No similar. 
 informe diario septiembre 6 2016 pib eurozona desacelero 2t16nlabelurl  ; j : 826. Sim : 0.5776547; Baja. 
 informe renta fija noviembre 27 2017 menos necesitadonlabelurl  ; j : 827. Sim : 0.38651413; No similar. 
 informe diario mayo 3 2018 inflacion eurozona desacelero abrilnlabelurl  ; j : 828. Sim : 0.623308; Baja. 
 informe inflacion marzo 14 2018 continua ajuste nlabelurl  ; j : 829. Sim : 0.5405984; Baja. 
 informe diario septiembre 8 2016 bce modifico politica monetarianlabelurl  ; j : 830. Sim : 0.7029676; Media. 
 informe semanal marzo 7 2016 aguantando expectativa pib 4t15 labelurl  ; j : 831. Sim : 0.5365822; Baja. 
 informe renta fija febrero 18 2016 menos tesoros labelurl  ; j : 832. Sim : 0.35874122; No similar. 
 informe diario junio 28 2016 recuperacion mercados mundiales labelurl  ; j : 833. Sim : 0.540989; Baja. 
 informe inflacion septiembre 25 2017 rebote esperado nlabelurl  ; j : 834. Sim : 0.54008484; Baja. 
 monitor banquero central septiembre 27 2018 banrep apuros labelurl  ; j : 835. Sim : 0.24682195; No similar. 
 monitor banquero central septiembre 27 2018 banrep apurosnlabelurl  ; j : 836. Sim : 0.2638597; No similar. 
 informe semanal febrero 20 2017 estabiliza desaceleracion nlabelurl  ; j : 837. Sim : 0.60968125; Baja. 
 informe semanal noviembre 27 2017 precios petroleo 2018nlabelurl  ; j : 838. Sim : 0.53211075; Baja. 
 informe inflacion febrero 22 2018 primer desvanecimiento nlabelurl  ; j : 839. Sim : 0.4395792; No similar. 
 informe semanal noviembre 21 2016 precios petroleo 2017nlabelurl  ; j : 840. Sim : 0.54734516; Baja. 
 informe renta fija mayo 22 2018 espera eleccionesnlabelurl  ; j : 841. Sim : 0.29110745; No similar. 
 informe mercado agosto 2017nrenta fija local promovio rentabilidadesnlabelurl  ; j : 842. Sim : 0.3625282; No similar. 
 informe renta fija agosto 24 2018 temedores extranjeros labelurl  ; j : 843. Sim : 0.2740011; No similar. 
 informe diario noviembre 1 2018 leve desaceleracion crecimiento exportacionesnlabelurl  ; j : 844. Sim : 0.5613484; Baja. 
 informe diario septiembre 3 2018 argentina implementara medidas austeridadnlabelurl  ; j : 845. Sim : 0.41436332; No similar. 
 informe renta fija diciembre 19 2014 baja exposicion labelurl  ; j : 846. Sim : 0.3234965; No similar. 
 informe diario noviembre 1 2018 leve desaceleracion crecimiento exportacionesnlabelurl  ; j : 847. Sim : 0.5613484; Baja. 
 informe diario abril 4 2016 ipp colombia desacelero marzo labelurl  ; j : 848. Sim : 0.5634508; Baja. 
 informe semanal noviembre 24 2014 precios petroleo 2015 labelurl  ; j : 849. Sim : 0.59765196; Baja. 
 informe renta fija agosto 28 2015 posiciones favorables labelurl  ; j : 850. Sim : 0.33258504; No similar. 
 informe semanal septiembre 22 2014 desaceleracion pausa monetaria labelurl  ; j : 851. Sim : 0.47173747; No similar. 
 informe diario octubre 10 2018 wall street baja labelurl  ; j : 852. Sim : 0.43082967; No similar. 
 informe semanal septiembre 14 2015 construccion sostiene crecimiento labelurl  ; j : 853. Sim : 0.56653523; Baja. 
 informe diario febrero 4 2019 ipp acelero 272 nlabelurl  ; j : 854. Sim : 0.37812692; No similar. 
 informe diario febrero 4 2019 ipp acelero 272 aanlabelurl  ; j : 855. Sim : 0.38718146; No similar. 
 rojasjuanc aflorezdeandrad juansintesis ley 908 2004 sombrero vueltiao  ; j : 856. Sim : 0.16523403; No similar. 
 informe diario septiembre 4 2018 colombia ipp desacelera julionlabelurl  ; j : 857. Sim : 0.5721983; Baja. 
 informe semanal noviembre 17 2015 construccion base solidas labelurl  ; j : 858. Sim : 0.5196895; Baja. 
 rojasjuanc aflorezdeandrad juansintesis ley 908 2004 sombrero vueltiao  ; j : 859. Sim : 0.16523403; No similar. 
 top3deimpactoeconomicon1china presenta inflacion debil febreron2cae produccion industrial alemani l; j : 860. Sim : 0.32272172; No similar. 
 informe semanal agosto 22 2017trump eclipsa economia nlabelurl  ; j : 861. Sim : 0.5077299; Baja. 
 top3deimpactoeconomicon1china presenta inflacion debil febreron2cae produccion industrial alemani l; j : 862. Sim : 0.32272172; No similar. 
 top3deimpactoeconomicon1china implementara politica monetaria politica fiscal n2banco japonralentiz; j : 863. Sim : 0.32306284; No similar. 
 informe semanal diciembre 5 2016 obras civiles impulso permanentenlabelurl  ; j : 864. Sim : 0.3898888; No similar. 
 llopebar hola alejandro ofrecemos disculpas inconvenientes generados probable linea labelurl  ; j : 865. Sim : 0.3033433; No similar. 
 informe mensual renta fija julio 9 2014 sentimientos encontrados labelurl  ; j : 866. Sim : 0.31079707; No similar. 
 informe semanal mayo 30 2017 preparando mayor recorte labelurl  ; j : 867. Sim : 0.45328838; No similar. 
 informe mensual renta fija junio 12 2014 estrenando labelurl  ; j : 868. Sim : 0.36923328; No similar. 
 informe semanal abril 13 2015 reforma tiempos deficit labelurl  ; j : 869. Sim : 0.5861303; Baja. 
 informe semanal abril 25 2016 inflacion tiempos reforma labelurl  ; j : 870. Sim : 0.57413703; Baja. 
 informe semanal enero 18 2016 isagen generacion escenarios labelurl  ; j : 871. Sim : 0.49900955; No similar. 
 informe inflacion octubre 24 2017 vuelta techo nlabelurl  ; j : 872. Sim : 0.50536525; Baja. 
 informe renta fija septiembre 18 2014 espejismo normalizacion labelurl  ; j : 873. Sim : 0.3240004; No similar. 
 recicladores alcaldiadesopo veran beneficiados actividad reciclaje meta recoger labelurl  ; j : 874. Sim : 0.020713944; No similar. 
 informe diario octubre 2 2018 powell asociacion nacional negociosnlabelurl  ; j : 875. Sim : 0.5042768; Baja. 
