Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario andrespardoa colombia eeuu inconvenientes 2018 inflacion 2017 2014 ofrecemos disculpas tasa 
 andrespardoa eeuu crearon 175 mil empleos netos febrero vs esperado 149 mil tasa desempleo subio 67; j : 1. Sim : 0.44143924; No similar. 
 informe diario febrero 12 2019 codirector ocampo ve riesgos inflacionariosnlabelurl  ; j : 1270. Sim : 0.23525815; No similar. 
 andrespardoa porquenosubirtasas subio riesgo desaceleracion economica profundizado incluido consumo; j : 1271. Sim : 0.4470035; No similar. 
 andrespardoa colombia bancorepublica mantuvo tasa inter 325 linea expectativa mercado  ; j : 1272. Sim : 0.45007885; No similar. 
 inflacion restringida precios commodities continua siendo lastre incremento tasa eu labelurl  ; j : 1273. Sim : 0.36207587; No similar. 
 informe diario julio 14 2016 decision boe sorprendio mercados nlabelurl  ; j : 1274. Sim : 0.5096236; Baja. 
 top 3 impacto economicosolicitudes subsidios desempleo eeuu caen vez masbanco inglaterra m labelurl; j : 1275. Sim : 0.3596711; No similar. 
 sesion viernes 23 febrero junta directiva banrep aprobo financieros ejerc labelurl  ; j : 1276. Sim : 0.26294908; No similar. 
 andrespardoa economia ecuador crecio 45 2013 banco central labelurl via reuterslatam  ; j : 1277. Sim : 0.3673848; No similar. 
 mineria industria manufacturera mostraron indicios recuperacion region caribe cerrar 2017 v labelur; j : 1278. Sim : 0.45250133; No similar. 
 informe diario septiembre 6 2018 caen peticiones iniciales subsidios desempleo eeuunlabelurl  ; j : 1279. Sim : 0.45922226; No similar. 
 eventosclavedelajornadaneeuu 900 ordenes bienes durables ago fneeuu 730 peticiones iniciales labelu; j : 1280. Sim : 0.17274514; No similar. 
 andrespardoa cuadro proyecciones economicas mundiales fmi actualizadas hoy region imfnews labelurl ; j : 1281. Sim : 0.42758632; No similar. 
 eventosclavedelajornadaneeuu 0900 venta casas existentes julneeuu 1300 minutas politica moneta labe; j : 1282. Sim : 0.3250507; No similar. 
 eventosclavedelajornadademananan eeuu 830 venta viviendas nuevasn colombia 1100 produccion indust l; j : 1283. Sim : 0.2815763; No similar. 
 bancorepublica blaa conversamos juez sudafricano richard goldstone sejep justicia transicion labelu; j : 1284. Sim : 0.36098486; No similar. 
 informe diario mayo 8 2018 trump anuncio decision retirarse acuerdo irannlabelurl  ; j : 1285. Sim : 0.41109422; No similar. 
 2018 equipo tecnico bancorepublica incremento proyeccion 24 27 contenido rango labelurl  ; j : 1286. Sim : 0.34451333; No similar. 
 andrespardoa colombia banco republica eleva tasa inter 45 linea expectativa  ; j : 1287. Sim : 0.5715975; Baja. 
 junta directiva banco republica mantuvo tasa intervencion 450 linea expectativa labelurl  ; j : 1288. Sim : 0.51304436; Baja. 
 andrespardoa colombia banco republica mantiene tasa inter 325 linea expectativa  ; j : 1289. Sim : 0.5394997; Baja. 
 andrespardoa colombia banco republica eleva tasa inter 425 linea expectativa  ; j : 1290. Sim : 0.5998274; Baja. 
 beste proyecto regulacion tasa cambio representativa mercado trm registro operaciones labelurl  ; j : 1291. Sim : 0.23284817; No similar. 
 bbancorepublica publico comentarios proyecto regulacion pr defi 0022018 revision limite labelurl  ; j : 1292. Sim : 0.3486079; No similar. 
 banca escolar banca central concurso ensayo corto estudiantes respondan pre labelurl  ; j : 1293. Sim : 0.13357079; No similar. 
 eventosclavedelajornadademananan eeuu 600 optimismo nfib pequenas empresasn japon 1850 indice label; j : 1294. Sim : 0.50060916; Baja. 
 eventosclavedelajornadademananan eeuu 830 ordenes bienes durables n eeuu 1000 venta vivienda labelu; j : 1295. Sim : 0.41769958; No similar. 
 andrespardoa luego decision bancorepublica esperamos tasa intervencion mantenga 775 resta  ; j : 1296. Sim : 0.4289287; No similar. 
 eventosclavedelajornadademanananeeuu 815 cambio empleo privado adp novneeuu 1000 indicador be label; j : 1297. Sim : 0.2833079; No similar. 
 donald trump firmo jueves memorando anuncio imposicion aranceles 25 importaciones p labelurl  ; j : 1298. Sim : 0.40105894; No similar. 
 ameisel explico inalde noviembre 2016 empezo senda bajista tasa intervencion labelurl  ; j : 1299. Sim : 0.37945795; No similar. 
 bbancorepublica publico comentarios proyecto regulacion pr sjd002 compendio modificacion regim labe; j : 1300. Sim : 0.2959982; No similar. 
 seminario cede economiauandes adolfomeisel codirector banrep senala siglo xx colombia labelurl  ; j : 1301. Sim : 0.33731467; No similar. 
 tras inesperado anuncio unidos mantener amenaza imponer aranceles importaciones chi labelurl  ; j : 1302. Sim : 0.13949013; No similar. 
 jaimebonet responde jaimeaminh puertos deberian especializarse acuerdo vocacion economia mas abiert; j : 1303. Sim : 0.47515124; No similar. 
 ganador categoria b xvi concurso ponencias jesus antonio bejarano organizado fenadeco labelurl  ; j : 1304. Sim : 0.19826463; No similar. 
 mauricio reina investigador asociado fedesarrollo comparte perspectivas acerca efectos economico la; j : 1305. Sim : 0.2402249; No similar. 
 informe diario octubre 11 2018 principales indices accionarios continuan bajanlabelurl  ; j : 1306. Sim : 0.47640768; No similar. 
 informe diario diciembre 6 2017 adp creacion empleo privado modera eeuunlabelurl  ; j : 1307. Sim : 0.4867535; No similar. 
 mauricio reina investigador asociado fedesarrollo comparte perspectivas acerca panorama economico i; j : 1308. Sim : 0.27247435; No similar. 
 sera nueva reforma tributarianmauricio reina investigador asociado fedesarrollo comparte pers label; j : 1309. Sim : 0.19614168; No similar. 
 andrespardoa deuda china supera 200 pib aumento fuerte ultimos 5 anos labelurl labelurl  ; j : 1310. Sim : 0.4499441; No similar. 
 informe diario febrero 20 2019 minutas feed espacio subida tasasnlabelurl  ; j : 1311. Sim : 0.26249242; No similar. 
 segun mostraron ultimas encuestas actividad manufacturera servicios markit economia zona labelurl  ; j : 1312. Sim : 0.34912908; No similar. 
 mauricio reina investigador asociado fedesarrollo comparte perspectivas acerca objeciones pre label; j : 1313. Sim : 0.20554052; No similar. 
 informe diario julio 17 2018 confianza consumidor mejor nivel 2015nlabelurl  ; j : 1314. Sim : 0.386932; No similar. 
 mauricio reina investigador asociado fedesarrollo comparte perspectivas acerca economia nivel g lab; j : 1315. Sim : 0.3033522; No similar. 
 top 3 impacto economicoactividad economica eeuu expandio mayoconfianza comercial colombia mejor lab; j : 1316. Sim : 0.42547524; No similar. 
 reportesdelemisor proposito informe especial estabilidad financiera riesgo mercado segundo semest l; j : 1317. Sim : 0.28287244; No similar. 
 enfrentes proximo reto sientas miedo paraliza cree capacidades prueba mantene labelurl  ; j : 1318. Sim : 0.19876215; No similar. 
 ganadores categoria xvi concurso ponencias jesus antonio bejarano organizado fenadeco labelurl  ; j : 1319. Sim : 0.2146422; No similar. 
 informesobreinflacion equipo tecnico banco estima crecimiento economico 3t ajustado estacional labe; j : 1320. Sim : 0.31269923; No similar. 
 andrespardoa produccion petroleo colombia cae 35 marzo atentados labelurl via wradiocolombia  ; j : 1321. Sim : 0.4346127; No similar. 
 bel bancorepublica publico comentarios proyecto regulacion tasa cambio representativa mercado t lab; j : 1322. Sim : 0.33632645; No similar. 
 miguepade mismos creadores pechugas 40milsigue agresion nins jovenes enrriquepenal educacionbogotad; j : 1323. Sim : 0.28759447; No similar. 
 informe diario noviembre 2 2017 republicanos presentan tributaria trump postula powellnlabelurl  ; j : 1324. Sim : 0.43591565; No similar. 
 bel bancorepublica publico comentarios proyecto regulacion tasa cambio representativa mercado t lab; j : 1325. Sim : 0.33632645; No similar. 
 informe diario mayo 7 2018 trump anunciara manana decision acuerdo irannlabelurl  ; j : 1326. Sim : 0.45350257; No similar. 
 top 3 impacto economicoactividad economica colombia da senales moderadas recuperacionprecios petro ; j : 1327. Sim : 0.44102386; No similar. 
 marimewolf alvinsch josepalaciox banco republica sociedad mejoras publicas barranquilla avanzan lab; j : 1328. Sim : 0.3583019; No similar. 
 informesobreinflacion cuanto expectativas mercados esperan inflacion 35 fin ano in labelurl  ; j : 1329. Sim : 0.37513554; No similar. 
 legado martin elias patricia teheran kaleth morales perdura espiritu losgrandesbdb labelurl  ; j : 1330. Sim : 0.31869262; No similar. 
 andrespardoa colombia nuevo indicador seguimiento economia ise dane labelurl via da  ; j : 1331. Sim : 0.51196486; Baja. 
 andrespardoa eurozona bce preparado actuar revisiones baja proyecciones inflacion labelurl vi  ; j : 1332. Sim : 0.42648295; No similar. 
 reportesdelemisor economia region noroccidente repunto 3t2018 antioquia demanda interna mejoro c la; j : 1333. Sim : 0.41201752; No similar. 
 informe analizamos situacion fiscal gobierno central resaltamos necesidad inaplazable realiz labelu; j : 1334. Sim : 0.37606445; No similar. 
 andrespardoa euro sera juez jurado banco central europeo labelurl via wsjcentralbanks  ; j : 1335. Sim : 0.18998046; No similar. 
 economia seguido ajustandose choque terminos intercambio espera deficit cuenta corrien labelurl  ; j : 1336. Sim : 0.37798762; No similar. 
 eventosclavedelajornadanzona euro 400 produccion industrial julneeuu 400 indice precios producto la; j : 1337. Sim : 0.20999278; No similar. 
 laudestereo exposicion bordo navio esclavista marieseraphique construccion memoria epocas colonia  ; j : 1338. Sim : 0.34459403; No similar. 
 informe diario diciembre 19 2017 eeuu reforma tributaria pasa camaranlabelurl  ; j : 1339. Sim : 0.5791772; Baja. 
 nuevo banrepcultural buenaventura nins dispondran mas 5000 titulos bibliograficos juegos pel labelu; j : 1340. Sim : 0.20561996; No similar. 
 firmas mejor pronostican precio dolar inflacion colombia segun encuesta mensual labelurl  ; j : 1341. Sim : 0.59811586; Baja. 
 andrespardoa colombia produccion petrolera enero supero millon barriles via eltiempo labelurl  ; j : 1342. Sim : 0.48761; No similar. 
 informe diario octubre 13 2016 datos china influencian desvalorizaciones globales labelurl  ; j : 1343. Sim : 0.40902117; No similar. 
 aranceles impuestos unidos bienes chinos valor 34 billones dolares entraron labelurl  ; j : 1344. Sim : 0.24194558; No similar. 
 informe diario febrero 9 2015 mercados expectativa reunion ministros finanzas europa labelurl  ; j : 1345. Sim : 0.4785504; No similar. 
 ameisel destaca segundo factor principal rezago geografia clima regimen tierras labelurl  ; j : 1346. Sim : 0.20604554; No similar. 
 ultimos 12 meses mayo 2017abril 2018 inflacion ubica 313 indicadoreseconomicos labelurl  ; j : 1347. Sim : 0.33791098; No similar. 
 informe semanal diciembre 12 2016 ajuste cuentas resumen proyecciones 2017nlabelurl  ; j : 1348. Sim : 0.34268647; No similar. 
 datos empleo eeuu levemente debajo expectativas continuan soportando alzas tasas labelurl  ; j : 1349. Sim : 0.49851924; No similar. 
 informe diario julio 4 2018 angela merkel busca aliviar tensiones comercialesnlabelurl  ; j : 1350. Sim : 0.41095766; No similar. 
 copusd alcanza 3025 jornada hoy rompe rango vigente ago 28202980 labelurl  ; j : 1351. Sim : 0.0422843; No similar. 
 informe diario marzo 18 2019 comercio exterior eurozona debilito eneronlabelurl  ; j : 1352. Sim : 0.39121568; No similar. 
 informe mercado octubrenen octubre rentabilidades portafolios pension voluntarias porvenir evide la; j : 1353. Sim : 0.37064573; No similar. 
 informe diario diciembre 20 2017 congreso aprueba reforma tributaria eeuunlabelurl  ; j : 1354. Sim : 0.42512542; No similar. 
 informe diario julio 12 2017 yellen cambia lenguaje respecto inflacionnlabelurl  ; j : 1355. Sim : 0.33372605; No similar. 
 junta directiva acaba iniciar reunion jdbr atento publicacion comunicado decision  ; j : 1356. Sim : 0.4423314; No similar. 
 junta directiva acaba iniciar reunion jdbr atento publicacion comunicado decision labelurl  ; j : 1357. Sim : 0.4348428; No similar. 
 coleccion conformada casi 3000 ejemplares corresponde total 1102 ediciones novel labelurl  ; j : 1358. Sim : 0.048321083; No similar. 
 economia sudafricaentro recesion primera vez crisis financiera 2009 luego pib labelurl  ; j : 1359. Sim : 0.38955685; No similar. 
 espebanrep 88 findeter banco especializado promocion infraestructura urbana regional sido labelurl ; j : 1360. Sim : 0.2344493; No similar. 
 top3deimpactoeconomico e1 gobierno japon reduce panorama economicon2aranceles china mantendran segu; j : 1361. Sim : 0.34109762; No similar. 
 informe mercado marzo 2019nfebrero rentabilidades portafolios pension voluntarias porvenir vi label; j : 1362. Sim : 0.3791879; No similar. 
 conectate facebook live eltiempo especialista tributaria marcela segura edmer tov labelurl  ; j : 1363. Sim : 0.25856566; No similar. 
 revive mejores conciertos ano roger water us them tour colombia labelurl  ; j : 1364. Sim : 0.2701801; No similar. 
 informe diario marzo 10 2014 datos china influyen comportamiento mercados labelurl  ; j : 1365. Sim : 0.38968822; No similar. 
 andrespardoa 4 factor estan pesando recuperacion sector inmobiliario eeuu labelurl via marketwat  ; j : 1366. Sim : 0.42547727; No similar. 
 eventosclavedelajornadanzona euro 330 confianza inversor sentix octnjapon 1850 balanza comercial la; j : 1367. Sim : 0.13590543; No similar. 
 informe diario julio 11 2018 alberto carrasquilla sera ministro haciendanlabelurl  ; j : 1368. Sim : 0.5371194; Baja. 
 rafael49342445 costo total proyecto bancorepublica estaria alrededor 400000 millones 004 labelurl  ; j : 1369. Sim : 0.12104062; No similar. 
 respecto politica fiscal joseantonioocampo aseguro debera continuar proceso ajuste vera labelurl  ; j : 1370. Sim : 0.42726922; No similar. 
 gcasillas importante cuenta reunion junta directiva banrep febrero 23 decidir labelurl  ; j : 1371. Sim : 0.17923503; No similar. 
 pasado empiezas pensar remodelacion bano terminas cotizando construccion segundo piso  ; j : 1372. Sim : 0.26358688; No similar. 
 ameisel destaca primer factor principales rezago legado colonial esclavitud hacienda labelurl  ; j : 1373. Sim : 0.17824645; No similar. 
 12 16 marzo sera gmwcolombia semana internacional educacion inclusion financiera labelurl  ; j : 1374. Sim : 0.34526005; No similar. 
 tendran sala amplia acogedora inmersa paisaje puerto animaran lectura aprendizaje  ; j : 1375. Sim : 0.02524497; No similar. 
 fondosdepension historicamente gestion administradoras fondos pension generado 1443 billones rendim; j : 1376. Sim : 0.4090685; No similar. 
 edwintoros costo total proyecto banco republica estaria alrededor 400000 millones 0 labelurl  ; j : 1377. Sim : 0.27710557; No similar. 
 informe diario octubre 8 2014 gobierno colombia actualiza lista paraisos fiscales labelurl  ; j : 1378. Sim : 0.6128829; Baja. 
 eventosclavedelajornadademananan eeuu 730 peticiones iniciales desempleo neeuu 730 reclamos co labe; j : 1379. Sim : 0.38426957; No similar. 
 mercado laboral eeuu mantiene solido eneronnde acuerdo reporte oficina empleo labelurl  ; j : 1380. Sim : 0.4616692; No similar. 
 empezo colombiamoda2018 pasarela losgrandesbdb huella inspiradora deja rastro grandes dise labelurl; j : 1381. Sim : 0.07025899; No similar. 
 29 centros culturales banrep gestiona sera laboratorio formacion exalto sala labelurl  ; j : 1382. Sim : 0.18653223; No similar. 
 fecha encuentran abiertas inscripciones iniciar estudios cualquiera siete programas ofer labelurl  ; j : 1383. Sim : 0.05934337; No similar. 
 planetaazul viertas residuos sobrantes delnaceite desague mejor juntalo botella tapal labelurl  ; j : 1384. Sim : 0.13626929; No similar. 
 cantidad sustancial firmas pagan tasa mayor 60 impuesto renta promedio  ; j : 1385. Sim : 0.29188463; No similar. 
 informe diario octubre 3 2018 gobierno colombia emite nuevos bonos dolaresnlabelurl  ; j : 1386. Sim : 0.49069792; No similar. 
 danielmcdean gente pone alma dono dono sayidsanchez fergicienta briesgamb movamonosporteleton  ; j : 1387. Sim : 0.17347357; No similar. 
 informe diario octubre 3 2018 gobierno colombia emite nuevos bonos dolares labelurl  ; j : 1388. Sim : 0.5742499; Baja. 
 mauricio reina investigador asociado fedesarrollo comparte vision caida precio petroleo labelurl  ; j : 1389. Sim : 0.40497446; No similar. 
 informe diario septiembre 26 2018 feed eleva proyecciones crecimiento labelurl  ; j : 1390. Sim : 0.37772596; No similar. 
 informe diario agosto 1 2017 eeuu inflacion pce desacelero junionlabelurl  ; j : 1391. Sim : 0.689646; Media. 
 informe diario mayo 9 2017 eeuu ventas mayoristas desaceleraron marzonlabelurl  ; j : 1392. Sim : 0.5665927; Baja. 
 informe diario febrero 22 2018 consumo hogares desacelero 4t17nlabelurl  ; j : 1393. Sim : 0.40031937; No similar. 
 informe diario junio 16 2016 inflacion ipc eeuu desaceleranlabelurl  ; j : 1394. Sim : 0.6903879; Media. 
 informe diario mayo 4 2017 eeuu deficit comercial disminuyo marzonlabelurl  ; j : 1395. Sim : 0.6876759; Media. 
 eventosclavedelajornadaneeuu 730 solicitudes iniciales desempleo sepnzona euro 900 confianza labelu; j : 1396. Sim : 0.2341222; No similar. 
 informe diario julio 6 2016 deficit comercial eeuu aumento mayonlabelurl  ; j : 1397. Sim : 0.50290674; Baja. 
 informe diario febrero 6 2019 deficit comercial eeuu redujo noviembrenlabelurl  ; j : 1398. Sim : 0.5252195; Baja. 
 informe diario marzo 19 2019 icc terreno negativo septiembrenlabelurl  ; j : 1399. Sim : 0.22321805; No similar. 
 informe diario febrero 6 2018 eeuu deficit comercial aumento diciembrenlabelurl  ; j : 1400. Sim : 0.5832393; Baja. 
 informe diario junio 6 2017 eurozona ventas menor desaceleran abrilnlabelurl  ; j : 1401. Sim : 0.4343146; No similar. 
 eventosclavedelajornadademanananeeuu 0900 confianza consumidor conference board octnzona euro 05 la; j : 1402. Sim : 0.3243359; No similar. 
 informe diario septiembre 26 2018 feed eleva proyecciones crecimientonlabelurl  ; j : 1403. Sim : 0.35314903; No similar. 
 informe diario septiembre 4 2017 exportaciones crecieron 376 aa julionlabelurl  ; j : 1404. Sim : 0.4516589; No similar. 
 informe diario febrero 6 2019 deficit comercial eeuu redujo noviembrenlabelurl  ; j : 1405. Sim : 0.5252195; Baja. 
 informe diario abril 5 2018 eeuu deficit comercial aumento febreronlabelurl  ; j : 1406. Sim : 0.58895916; Baja. 
 informe diario marzo 4 2019 exportaciones cayeron 78 aa eneronlabelurl  ; j : 1407. Sim : 0.31379825; No similar. 
 informe diario marzo 19 2019 icc terreno negativo septiembrenlabelurl  ; j : 1408. Sim : 0.22321805; No similar. 
 informe diario febrero 7 2017 deficit comercial eeuu disminuye diciembrenlabelurl  ; j : 1409. Sim : 0.618517; Baja. 
 informe diario septiembre 5 2018 eeuu deficit comercial aumento julionlabelurl  ; j : 1410. Sim : 0.6362046; Baja. 
 informe diario diciembre 7 2016 produccion industrial cayo reino unidonlabelurl  ; j : 1411. Sim : 0.3769694; No similar. 
 eventosclavedelajornadaneeuu 730 ordenes bienes durables agonjapon indice precios consumidor labelu; j : 1412. Sim : 0.3228415; No similar. 
 informe diario marzo 7 2017 eeuu deficit comercial aumento eneronlabelurl  ; j : 1413. Sim : 0.5909462; Baja. 
 top3deimpactoeconomicon1 inflacion reino unido situo encima expectativan2boj mantuvo progr labelurl; j : 1414. Sim : 0.3414614; No similar. 
 informe diario abril 4 2017 reduce deficit comercial eeuu febreronlabelurl  ; j : 1415. Sim : 0.6257636; Baja. 
 informe diario marzo 7 2018 eeuu deficit comercial aumento eneronlabelurl  ; j : 1416. Sim : 0.572522; Baja. 
 top 3 impacto economicopedidos maquinaria japon superaron expectativas febreroinflacion china s lab; j : 1417. Sim : 0.18373103; No similar. 
 informe diario diciembre 21 2017 confianza industrial deterioro noviembrenlabelurl  ; j : 1418. Sim : 0.3485137; No similar. 
 informe diario diciembre 11 2018 ipp eeuu desacelero noviembrenlabelurl  ; j : 1419. Sim : 0.44157594; No similar. 
 top 3 impacto economicoventas minoristas eeuu desaceleraron levemente abrilproduccion industrial d ; j : 1420. Sim : 0.22958529; No similar. 
 informe diario julio 6 2017 nominas adp eeuu debajo expectativasnlabelurl  ; j : 1421. Sim : 0.60173774; Baja. 
 informe diario octubre 9 2018 fmi aumento proyeccion crecimiento colombianlabelurl  ; j : 1422. Sim : 0.56371146; Baja. 
 informe diario diciembre 4 2018 ipp contrajo 157 mm noviembrenlabelurl  ; j : 1423. Sim : 0.2662706; No similar. 
 informe diario diciembre 11 2018 ipp eeuu desacelero noviembrenlabelurl  ; j : 1424. Sim : 0.44157594; No similar. 
 informe diario mayo 2 2018 feed mantuvo inalterada tasa interesnlabelurl  ; j : 1425. Sim : 0.42864084; No similar. 
 informe diario octubre 17 2018 ventas menor repuntan agosto labelurl  ; j : 1426. Sim : 0.3961769; No similar. 
 informe diario noviembre 8 2016 produccion industrial desacelero reino unido labelurl  ; j : 1427. Sim : 0.24624532; No similar. 
 informe diario diciembre 5 2017 eeuu deficit comercial aumento octubrenlabelurl  ; j : 1428. Sim : 0.5648893; Baja. 
 informe diario octubre 4 2016 fmi reduce pronostico crecimiento colombianlabelurl  ; j : 1429. Sim : 0.5185713; Baja. 
 informe diario octubre 5 2017 eeuu deficit comercial redujo agostonlabelurl  ; j : 1430. Sim : 0.61366975; Baja. 
 eventosclavedelajornadaneeuu 730 ventas minoristas agoneeuu 830 produccion industrial agonco labelu; j : 1431. Sim : 0.21049568; No similar. 
 eventosclavedelajornadanchina 2100 ventas minoristas julnchina 2100 produccion industrial julnconoc; j : 1432. Sim : 0.21244173; No similar. 
 informe diario enero 9 2018 eurozona tasa desempleo redujo noviembrenlabelurl  ; j : 1433. Sim : 0.5023863; Baja. 
 informe diario abril 15 2014 expectativa crecimiento 1t14 china labelurl  ; j : 1434. Sim : 0.3745797; No similar. 
 informe diario octubre 17 2018 ventas menor repuntan agostonlabelurl  ; j : 1435. Sim : 0.42741132; No similar. 
 top 3 impacto economicoexportaciones japon mantienen crecimiento febrerocrecimiento chile 201 label; j : 1436. Sim : 0.3096825; No similar. 
 informe diario agosto 8 2018 escalan tensiones comerciales eeuu chinanlabelurl  ; j : 1437. Sim : 0.47309983; No similar. 
 informe diario diciembre 4 2018 ipp contrajo 157 mm noviembre labelurl  ; j : 1438. Sim : 0.25920168; No similar. 
 informe diario marzo 9 2017 bce mantuvo inalterada politica monetarianlabelurl  ; j : 1439. Sim : 0.6005169; Baja. 
 informe diario marzo 14 2017 caen ventas menor colombianlabelurl  ; j : 1440. Sim : 0.49749097; No similar. 
 informe diario agosto 9 2016 eeuu comercio mayorista fortalecio junionlabelurl  ; j : 1441. Sim : 0.47453088; No similar. 
 informe semanal diciembre 15 2014 tormenta expectativa pib 3t14 labelurl  ; j : 1442. Sim : 0.44564143; No similar. 
 informe diario abril 4 2018 inflacion eurozona 14 aa marzonlabelurl  ; j : 1443. Sim : 0.5929564; Baja. 
 eventosclavedelajornadademananancolombia 1000 tasa desempleo septnzona euro 0500 inflacion oct labe; j : 1444. Sim : 0.41048843; No similar. 
 informe diario enero 30 2017 inflacion eeuu continua repuntandonlabelurl  ; j : 1445. Sim : 0.66874164; Baja. 
 informe diario diciembre 15 2016sector manufacturero mejoro eeuu eurozonanlabelurl  ; j : 1446. Sim : 0.60856944; Baja. 
 eventosclavedelajornadademananan eeuu 830 reclamaciones iniciales desempleo n eeuu 1000 indice labe; j : 1447. Sim : 0.594371; Baja. 
 informe diario agosto 9 2018 inflacion mensual mexico continua aumentonlabelurl  ; j : 1448. Sim : 0.5652742; Baja. 
 informe diario junio 7 2017 eeuu inventarios petroleo sorprenden mercadonlabelurl  ; j : 1449. Sim : 0.67684764; Media. 
 informe diario octubre 11 2017 divisiones comite feed inflacionnlabelurl  ; j : 1450. Sim : 0.37821233; No similar. 
 informe diario septiembre 13 2016 crecimiento demanda petroleo desaceleranlabelurl  ; j : 1451. Sim : 0.52139384; Baja. 
 informe diario mayo 3 2017 feed mantuvo inalteradas tasas mayonlabelurl  ; j : 1452. Sim : 0.4044326; No similar. 
 informe diario septiembre 24 2018 petroleo toco maximos 2014nlabelurl  ; j : 1453. Sim : 0.5491031; Baja. 
 eventosclavedelajornadademananancolombia 1000 balanza comercial agosto china 2100 crecimiento pib  ; j : 1454. Sim : 0.31814083; No similar. 
 eventosclavedelajornadanzona euro 0400 inflacion agoncolombia 1000 tasa desempleo julncolombi label; j : 1455. Sim : 0.34571496; No similar. 
 informe diario septiembre 24 2018 petroleo toco maximos 2014 labelurl  ; j : 1456. Sim : 0.59129375; Baja. 
 eventosclavedelajornadademanananzona euro 500 ventas minoritas sepnchina balanza comercial oct labe; j : 1457. Sim : 0.12202668; No similar. 
 informe diario octubre 23 2018 fuerte retroceso precios petroleonlabelurl  ; j : 1458. Sim : 0.36025247; No similar. 
 eventosclavedelajornadademanananeeuu 0900 ordenes fabrica sept neeuu 730 informe mercado l labelurl; j : 1459. Sim : 0.3517472; No similar. 
 informe diario agosto 9 2017 eeuu inventarios petroleo disminuyen mas esperadonlabelurl  ; j : 1460. Sim : 0.6283071; Baja. 
 informe semanal agosto 14 2017 debil crecimiento economico nlabelurl  ; j : 1461. Sim : 0.51954424; Baja. 
 informe diario octubre 23 2018 fuerte retroceso precios petroleonlabelurl  ; j : 1462. Sim : 0.36025247; No similar. 
 informe diario julio 18 2017 confianza consumidor mejoro junionlabelurl  ; j : 1463. Sim : 0.49374717; No similar. 
 informe diario abril 28 2016 economia eeuu desacelero 1t16 labelurl  ; j : 1464. Sim : 0.50856197; Baja. 
 informe diario junio 7 2016 crecimiento eurozona 1t16 revisado alza labelurl  ; j : 1465. Sim : 0.35098192; No similar. 
 informe diario noviembre 7 2018 inventarios petroleo eeuu superaron expectativasnlabelurl  ; j : 1466. Sim : 0.5993049; Baja. 
 informe diario julio 3 2018 exportaciones colombianas crecieron 5 aa mayonlabelurl  ; j : 1467. Sim : 0.34832227; No similar. 
 informe diario febrero 5 2019 exportaciones disminuyeron 146 aa diciembrenlabelurl  ; j : 1468. Sim : 0.34722874; No similar. 
 top 3 impacto economicoinventarios petroleo eeuu disminuyeron mas esperadobanco central bras labelu; j : 1469. Sim : 0.37580824; No similar. 
 eventosclavedelajornadancolombia 1000 balanza comercial julnjapon 1850 balanza comercial agonconoc ; j : 1470. Sim : 0.2497503; No similar. 
 top 3 impacto economicoprecios petroleo aumentansolicitudes semanales subsidios desempleo ee labelu; j : 1471. Sim : 0.3249671; No similar. 
 eventosclavedelajornadanjapon 0000 confianza consumidor sepnzona euro 400 indice precios labelurl  ; j : 1472. Sim : 0.28540307; No similar. 
 informe diario enero 25 2017 aumento inventarios petroleo eeuunlabelurl  ; j : 1473. Sim : 0.5703329; Baja. 
 informe renta fija agosto 30 2017 rebaja descontada nlabelurl  ; j : 1474. Sim : 0.31461465; No similar. 
 informe diario julio 19 2017 importaciones colombia crecieron 4 mayonlabelurl  ; j : 1475. Sim : 0.49787337; No similar. 
 informe diario abril 7 2014 mercado mantiene expectativa minutas feed labelurl  ; j : 1476. Sim : 0.41993248; No similar. 
 informe renta fija diciembre 26 2016 corporativos verde nlabelurl  ; j : 1477. Sim : 0.11498648; No similar. 
 informe diario agosto 15 2018 continua recuperacion economia colombiananlabelurl  ; j : 1478. Sim : 0.56358796; Baja. 
 informe diario octubre 9 2018 fmi aumento proyeccion crecimiento colombia labelurl  ; j : 1479. Sim : 0.6280808; Baja. 
 top 3 impacto economicoconfianza inversores zona euro encima esperadoexportaciones aleman labelurl ; j : 1480. Sim : 0.14073679; No similar. 
 eventosclavedelajornadademanananeeuu 0730 ordenes bienes durables septnzona euro 0645 reunion d lab; j : 1481. Sim : 0.3621177; No similar. 
 informe diario julio 18 2018 inventarios petroleo aumentaron eeuunlabelurl  ; j : 1482. Sim : 0.53021544; Baja. 
 top 3 impacto economicoventas minoristas colombia repuntan enerosolicitudes subsidios desempleo lab; j : 1483. Sim : 0.28990155; No similar. 
 top 3 impacto economicocrecimiento zona euro 2t18 debajo esperadopmi manufactur labelurl  ; j : 1484. Sim : 0.002203111; No similar. 
 informe diario agosto 3 2017 boe mantiene politica monetaria inalteradanlabelurl  ; j : 1485. Sim : 0.6154178; Baja. 
 mas top 3 impacto economico ventas minoristas colombia aumentaron mas esperado mayoperspectiva labe; j : 1486. Sim : 0.34981072; No similar. 
 informe diario mayo 22 2017 mercados expectativa reunion opep labelurl  ; j : 1487. Sim : 0.46002173; No similar. 
 informe diario febrero 2 2017 colombia exportaciones alcanza maximos 2011nlabelurl  ; j : 1488. Sim : 0.5743587; Baja. 
