Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario andrespardoa colombia eeuu 2018 inflacion 2017 inconvenientes 2014 ofrecemos disculpas tasa 
 bandrespardoa uncertainty over the approval of structural tax reform in the 2nd half of 2016 could ; j : 1. Sim : 0.13900378; No similar. 
 top 3 impacto economicoactividad economica eeuu expandio mayoconfianza comercial colombia mejor lab; j : 1080. Sim : 0.42547524; No similar. 
 ultimos 12 meses mayo 2017abril 2018 inflacion ubica 313 indicadoreseconomicos labelurl  ; j : 1081. Sim : 0.337911; No similar. 
 banrepcultural mincultura comisionadopaz justiciaypazcol equipopazgob sejep posconflictoco conversa; j : 1082. Sim : 0.18315561; No similar. 
 enfrentes proximo reto sientas miedo paraliza cree capacidades prueba mantene labelurl  ; j : 1083. Sim : 0.19876215; No similar. 
 informe diario agosto 22 2016 petroleo inicio semana retroceso 3nlabelurl  ; j : 1084. Sim : 0.348639; No similar. 
 informe diario mayo 6 2014 alta expectativa decisiones banco central europeo labelurl  ; j : 1085. Sim : 0.30236018; No similar. 
 informesobreinflacion cuanto expectativas mercados esperan inflacion 35 fin ano in labelurl  ; j : 1086. Sim : 0.37513554; No similar. 
 donald trump firmo jueves memorando anuncio imposicion aranceles 25 importaciones p labelurl  ; j : 1087. Sim : 0.40105894; No similar. 
 rafael49342445 costo total proyecto bancorepublica estaria alrededor 400000 millones 004 labelurl  ; j : 1088. Sim : 0.12104062; No similar. 
 informe analizamos situacion fiscal gobierno central resaltamos necesidad inaplazable realiz labelu; j : 1089. Sim : 0.37606445; No similar. 
 laudestereo exposicion bordo navio esclavista marieseraphique construccion memoria epocas colonia  ; j : 1090. Sim : 0.344594; No similar. 
 beste proyecto regulacion tasa cambio representativa mercado trm registro operaciones labelurl  ; j : 1091. Sim : 0.23284817; No similar. 
 cgonzalezm75 costo total proyecto bancorepublica estaria alrededor 400000 millones 004 labelurl  ; j : 1092. Sim : 0.15017249; No similar. 
 beste proyecto regulacion tasa cambio representativa mercado trm registro operaciones labelurl  ; j : 1093. Sim : 0.23284817; No similar. 
 mauricio reina investigador asociado fedesarrollo comparte perspectivas acerca efectos economico la; j : 1094. Sim : 0.2402249; No similar. 
 mauricio reina investigador asociado fedesarrollo explica impacto economico gobierno donaldtrump la; j : 1095. Sim : 0.3236024; No similar. 
 firmas mejor pronostican precio dolar inflacion colombia segun encuesta mensual labelurl  ; j : 1096. Sim : 0.59811586; Baja. 
 sera nueva reforma tributarianmauricio reina investigador asociado fedesarrollo comparte pers label; j : 1097. Sim : 0.1961417; No similar. 
 revive mejores conciertos ano roger water us them tour colombia labelurl  ; j : 1098. Sim : 0.2701801; No similar. 
 mauricio reina investigador asociado fedesarrollo comparte perspectivas acerca economia nivel g lab; j : 1099. Sim : 0.3033522; No similar. 
 informe diario febrero 9 2015 mercados expectativa reunion ministros finanzas europa labelurl  ; j : 1100. Sim : 0.4785504; No similar. 
 edwintoros costo total proyecto banco republica estaria alrededor 400000 millones 0 labelurl  ; j : 1101. Sim : 0.27710554; No similar. 
 mauricio reina investigador asociado fedesarrollo comparte perspectivas acerca panorama economico i; j : 1102. Sim : 0.27247435; No similar. 
 andrespardoa produccion petroleo colombia cae 35 marzo atentados labelurl via wradiocolombia  ; j : 1103. Sim : 0.4346127; No similar. 
 andrespardoa cuadro proyecciones economicas mundiales fmi actualizadas hoy region imfnews labelurl ; j : 1104. Sim : 0.42758632; No similar. 
 bbancorepublica publico comentarios proyecto regulacion pr defi 0022018 revision limite labelurl  ; j : 1105. Sim : 0.3486079; No similar. 
 reportesdelemisor proposito informe especial estabilidad financiera riesgo mercado segundo semest l; j : 1106. Sim : 0.28287244; No similar. 
 banco republica ofrece patrocinio iniciar estudios posgrado exterior segundo seme labelurl  ; j : 1107. Sim : 0.21869491; No similar. 
 informe diario mayo 7 2018 trump anunciara manana decision acuerdo irannlabelurl  ; j : 1108. Sim : 0.45350254; No similar. 
 respecto politica fiscal joseantonioocampo aseguro debera continuar proceso ajuste vera labelurl  ; j : 1109. Sim : 0.42726922; No similar. 
 top 3 impacto economicoconfianza inversionistas zona euro cayo mayoequipo negociador eeu labelurl  ; j : 1110. Sim : 0.15564585; No similar. 
 informe diario marzo 10 2014 datos china influyen comportamiento mercados labelurl  ; j : 1111. Sim : 0.38968822; No similar. 
 informe diario febrero 12 2019 codirector ocampo ve riesgos inflacionariosnlabelurl  ; j : 1112. Sim : 0.23525815; No similar. 
 bel bancorepublica publico comentarios proyecto regulacion tasa cambio representativa mercado t lab; j : 1113. Sim : 0.33632645; No similar. 
 conectate facebook live eltiempo especialista tributaria marcela segura edmer tov labelurl  ; j : 1114. Sim : 0.25856566; No similar. 
 copusd alcanza 3025 jornada hoy rompe rango vigente ago 28202980 labelurl  ; j : 1115. Sim : 0.042284295; No similar. 
 informe diario octubre 8 2014 gobierno colombia actualiza lista paraisos fiscales labelurl  ; j : 1116. Sim : 0.6128829; Baja. 
 andrespardoa colombia nuevo indicador seguimiento economia ise dane labelurl via da  ; j : 1117. Sim : 0.51196486; Baja. 
 bel bancorepublica radico congreso republica informe junta directiva senala resultados labelurl  ; j : 1118. Sim : 0.46503568; No similar. 
 informe diario julio 11 2018 alberto carrasquilla sera ministro haciendanlabelurl  ; j : 1119. Sim : 0.5371193; Baja. 
 junta directiva acaba iniciar reunion jdbr atento publicacion comunicado decision  ; j : 1120. Sim : 0.4423314; No similar. 
 junta directiva acaba iniciar reunion jdbr atento publicacion comunicado decision labelurl  ; j : 1121. Sim : 0.4348428; No similar. 
 informe diario julio 4 2018 angela merkel busca aliviar tensiones comercialesnlabelurl  ; j : 1122. Sim : 0.41095766; No similar. 
 nuevo banrepcultural buenaventura nins dispondran mas 5000 titulos bibliograficos juegos pel labelu; j : 1123. Sim : 0.20561996; No similar. 
 tendran sala amplia acogedora inmersa paisaje puerto animaran lectura aprendizaje  ; j : 1124. Sim : 0.025244974; No similar. 
 mauricio reina investigador asociado fedesarrollo comparte vision caida precio petroleo labelurl  ; j : 1125. Sim : 0.40497443; No similar. 
 empezo colombiamoda2018 pasarela losgrandesbdb huella inspiradora deja rastro grandes dise labelurl; j : 1126. Sim : 0.07025898; No similar. 
 top 3 impacto economicoexportaciones china sorprenden alza febrerodeficit comercial eeuu super labe; j : 1127. Sim : 0.25799924; No similar. 
 gcasillas importante cuenta reunion junta directiva banrep febrero 23 decidir labelurl  ; j : 1128. Sim : 0.17923503; No similar. 
 informe diario julio 11 2017 fitchratings perspectiva calificacion podria deteriorarsenlabelurl  ; j : 1129. Sim : 0.50336426; Baja. 
 danielmcdean gente pone alma dono dono sayidsanchez fergicienta briesgamb movamonosporteleton  ; j : 1130. Sim : 0.17347357; No similar. 
 bbanrepeduca tres instituciones educativas cuyos equipos finalistas concurso banca esc labelurl  ; j : 1131. Sim : 0.1294755; No similar. 
 informe diario julio 13 2015 grecia accedio acuerdo negociar acreedores labelurl  ; j : 1132. Sim : 0.46928167; No similar. 
 andrespardoa colombia produccion petrolera enero supero millon barriles via eltiempo labelurl  ; j : 1133. Sim : 0.48761; No similar. 
 reportesdelemisor 2t2018 crecimiento caribe bolivar atlantico cordoba cesar magdalena guaji labelur; j : 1134. Sim : 0.4127087; No similar. 
 ministerio comercio chino paises cuestion acordaron consultas presenciales comercio exterior labelu; j : 1135. Sim : 0.2935742; No similar. 
 12 16 marzo sera gmwcolombia semana internacional educacion inclusion financiera labelurl  ; j : 1136. Sim : 0.34526005; No similar. 
 empieza adoptar habitos saludables ayudaran prevenir enfermedades cancer empieza ahora labelurl  ; j : 1137. Sim : 0.16937864; No similar. 
 sabiasque humedales ayudan regular ciclo agua controlan erosion inundaciones filtro labelurl  ; j : 1138. Sim : 0.04698146; No similar. 
 empieza adoptar habitos saludables ayudaran prevenir enfermedades cancer empieza ahora  ; j : 1139. Sim : 0.1751018; No similar. 
 sesion viernes 23 febrero junta directiva banrep aprobo financieros ejerc labelurl  ; j : 1140. Sim : 0.26294908; No similar. 
 equipos autoorganizados manifiesto remoto scrum lean design think solo temas labelurl  ; j : 1141. Sim : 0.009496633; No similar. 
 informe mercado octubrenen octubre rentabilidades portafolios pension voluntarias porvenir evide la; j : 1142. Sim : 0.37064573; No similar. 
 mercado laboral eeuu mantiene solido eneronnde acuerdo reporte oficina empleo labelurl  ; j : 1143. Sim : 0.4616692; No similar. 
 informe mercado marzo 2019nfebrero rentabilidades portafolios pension voluntarias porvenir vi label; j : 1144. Sim : 0.3791879; No similar. 
 29 centros culturales banrep gestiona sera laboratorio formacion exalto sala labelurl  ; j : 1145. Sim : 0.18653223; No similar. 
 informe semanal diciembre 12 2016 ajuste cuentas resumen proyecciones 2017nlabelurl  ; j : 1146. Sim : 0.34268647; No similar. 
 variables economicas costa caribe bolivar atlantico cordoba cesar magdalena guajira labelurl  ; j : 1147. Sim : 0.45689532; No similar. 
 fondosdepension historicamente gestion administradoras fondos pension generado 1443 billones rendim; j : 1148. Sim : 0.40906852; No similar. 
 segun reporte oficina nacional estadisticas produccion industrial ventas minoristas chin labelurl  ; j : 1149. Sim : 0.47565043; No similar. 
 lipagj hola liseth asi iniciativa llamada planetaazul buscamos crear conciencia apo labelurl  ; j : 1150. Sim : 0.21822475; No similar. 
 cambio condiciones externas plausible recuperacion demanda interna estan dadas condic labelurl  ; j : 1151. Sim : 0.2848412; No similar. 
 richard francis afirma colombia desafio fiscal importante cumplir mandato regla f labelurl  ; j : 1152. Sim : 0.40772393; No similar. 
 datos empleo eeuu levemente debajo expectativas continuan soportando alzas tasas labelurl  ; j : 1153. Sim : 0.49851924; No similar. 
 empezar nuevo ano incentivo perfecto retomarpropositosque habias dejado olvidados culminas labelurl; j : 1154. Sim : 0.13935299; No similar. 
 jaocampo demanda interna tendencia alza moderada 2017 consumo hogares si labelurl  ; j : 1155. Sim : 0.29329625; No similar. 
 informe diario mayo 9 2017 eeuu ventas mayoristas desaceleraron marzonlabelurl  ; j : 1156. Sim : 0.56659275; Baja. 
 top 3 impacto economicoventas minoristas eeuu desaceleraron levemente abrilproduccion industrial d ; j : 1157. Sim : 0.22958532; No similar. 
 eventosclavedelajornadanchina 2100 ventas minoristas julnchina 2100 produccion industrial julnconoc; j : 1158. Sim : 0.21244173; No similar. 
 informe diario septiembre 4 2017 exportaciones crecieron 376 aa julionlabelurl  ; j : 1159. Sim : 0.4516589; No similar. 
 informe diario septiembre 5 2018 eeuu deficit comercial aumento julionlabelurl  ; j : 1160. Sim : 0.6362046; Baja. 
 informe diario octubre 17 2018 ventas menor repuntan agostonlabelurl  ; j : 1161. Sim : 0.42741132; No similar. 
 informe diario septiembre 26 2018 feed eleva proyecciones crecimientonlabelurl  ; j : 1162. Sim : 0.35314903; No similar. 
 informe diario julio 6 2017 nominas adp eeuu debajo expectativasnlabelurl  ; j : 1163. Sim : 0.60173774; Baja. 
 informe diario septiembre 26 2018 feed eleva proyecciones crecimiento labelurl  ; j : 1164. Sim : 0.37772596; No similar. 
 informe diario febrero 6 2019 deficit comercial eeuu redujo noviembrenlabelurl  ; j : 1165. Sim : 0.5252195; Baja. 
 informe diario mayo 4 2017 eeuu deficit comercial disminuyo marzonlabelurl  ; j : 1166. Sim : 0.6876759; Media. 
 informe diario abril 4 2017 reduce deficit comercial eeuu febreronlabelurl  ; j : 1167. Sim : 0.6257636; Baja. 
 informe diario febrero 6 2019 deficit comercial eeuu redujo noviembrenlabelurl  ; j : 1168. Sim : 0.5252195; Baja. 
 informe diario junio 6 2017 eurozona ventas menor desaceleran abrilnlabelurl  ; j : 1169. Sim : 0.43431464; No similar. 
 informe diario mayo 2 2018 feed mantuvo inalterada tasa interesnlabelurl  ; j : 1170. Sim : 0.42864084; No similar. 
 informe diario noviembre 8 2016 produccion industrial desacelero reino unido labelurl  ; j : 1171. Sim : 0.24624535; No similar. 
 informe diario febrero 7 2017 deficit comercial eeuu disminuye diciembrenlabelurl  ; j : 1172. Sim : 0.618517; Baja. 
 eventosclavedelajornadaneeuu 730 solicitudes iniciales desempleo sepnzona euro 900 confianza labelu; j : 1173. Sim : 0.23412222; No similar. 
 eventosclavedelajornadaneeuu 730 ordenes bienes durables agonjapon indice precios consumidor labelu; j : 1174. Sim : 0.32284153; No similar. 
 informe diario abril 5 2018 eeuu deficit comercial aumento febreronlabelurl  ; j : 1175. Sim : 0.58895916; Baja. 
 informe diario agosto 1 2017 eeuu inflacion pce desacelero junionlabelurl  ; j : 1176. Sim : 0.68964607; Media. 
 informe diario agosto 8 2018 escalan tensiones comerciales eeuu chinanlabelurl  ; j : 1177. Sim : 0.47309983; No similar. 
 informe diario febrero 6 2018 eeuu deficit comercial aumento diciembrenlabelurl  ; j : 1178. Sim : 0.5832393; Baja. 
 informe diario diciembre 4 2018 ipp contrajo 157 mm noviembrenlabelurl  ; j : 1179. Sim : 0.2662706; No similar. 
 informe diario octubre 9 2018 fmi aumento proyeccion crecimiento colombianlabelurl  ; j : 1180. Sim : 0.5637115; Baja. 
 informe diario diciembre 7 2016 produccion industrial cayo reino unidonlabelurl  ; j : 1181. Sim : 0.3769694; No similar. 
 informe diario junio 7 2017 eeuu inventarios petroleo sorprenden mercadonlabelurl  ; j : 1182. Sim : 0.67684764; Media. 
 informe diario marzo 4 2019 exportaciones cayeron 78 aa eneronlabelurl  ; j : 1183. Sim : 0.31379825; No similar. 
 informe diario octubre 5 2017 eeuu deficit comercial redujo agostonlabelurl  ; j : 1184. Sim : 0.61366975; Baja. 
 eventosclavedelajornadaneeuu 730 ventas minoristas agoneeuu 830 produccion industrial agonco labelu; j : 1185. Sim : 0.21049568; No similar. 
 informe diario enero 9 2018 eurozona tasa desempleo redujo noviembrenlabelurl  ; j : 1186. Sim : 0.5023863; Baja. 
 informe diario abril 15 2014 expectativa crecimiento 1t14 china labelurl  ; j : 1187. Sim : 0.3745797; No similar. 
 informe diario marzo 4 2019 exportaciones cayeron 78 aa eneronlabelurl  ; j : 1188. Sim : 0.31379825; No similar. 
 informe diario enero 30 2017 inflacion eeuu continua repuntandonlabelurl  ; j : 1189. Sim : 0.66874164; Baja. 
 informe diario diciembre 21 2017 confianza industrial deterioro noviembrenlabelurl  ; j : 1190. Sim : 0.3485137; No similar. 
 informe diario abril 4 2018 inflacion eurozona 14 aa marzonlabelurl  ; j : 1191. Sim : 0.5929564; Baja. 
 informe diario octubre 17 2018 ventas menor repuntan agosto labelurl  ; j : 1192. Sim : 0.3961769; No similar. 
 informe diario julio 6 2016 deficit comercial eeuu aumento mayonlabelurl  ; j : 1193. Sim : 0.50290674; Baja. 
 informe diario octubre 4 2016 fmi reduce pronostico crecimiento colombianlabelurl  ; j : 1194. Sim : 0.5185713; Baja. 
 informe diario junio 16 2016 inflacion ipc eeuu desaceleranlabelurl  ; j : 1195. Sim : 0.6903879; Media. 
 informe diario diciembre 11 2018 ipp eeuu desacelero noviembrenlabelurl  ; j : 1196. Sim : 0.44157594; No similar. 
 informe diario noviembre 7 2018 inventarios petroleo eeuu superaron expectativasnlabelurl  ; j : 1197. Sim : 0.5993049; Baja. 
 informe diario marzo 7 2018 eeuu deficit comercial aumento eneronlabelurl  ; j : 1198. Sim : 0.572522; Baja. 
 informe diario mayo 3 2017 feed mantuvo inalteradas tasas mayonlabelurl  ; j : 1199. Sim : 0.4044326; No similar. 
 informe diario agosto 9 2016 eeuu comercio mayorista fortalecio junionlabelurl  ; j : 1200. Sim : 0.47453088; No similar. 
 informe diario noviembre 7 2018 inventarios petroleo eeuu superaron expectativasnlabelurl  ; j : 1201. Sim : 0.5993049; Baja. 
 informe diario marzo 14 2017 caen ventas menor colombianlabelurl  ; j : 1202. Sim : 0.49749097; No similar. 
 informe diario agosto 9 2017 eeuu inventarios petroleo disminuyen mas esperadonlabelurl  ; j : 1203. Sim : 0.6283071; Baja. 
 informe diario septiembre 24 2018 petroleo toco maximos 2014nlabelurl  ; j : 1204. Sim : 0.5491031; Baja. 
 informe diario marzo 7 2017 eeuu deficit comercial aumento eneronlabelurl  ; j : 1205. Sim : 0.5909462; Baja. 
 informe diario marzo 19 2019 icc terreno negativo septiembrenlabelurl  ; j : 1206. Sim : 0.22321805; No similar. 
 informe diario diciembre 4 2018 ipp contrajo 157 mm noviembre labelurl  ; j : 1207. Sim : 0.25920168; No similar. 
 informe diario febrero 22 2018 consumo hogares desacelero 4t17nlabelurl  ; j : 1208. Sim : 0.40031937; No similar. 
 eventosclavedelajornadademananancolombia 1000 tasa desempleo septnzona euro 0500 inflacion oct labe; j : 1209. Sim : 0.41048843; No similar. 
 informe diario diciembre 5 2017 eeuu deficit comercial aumento octubrenlabelurl  ; j : 1210. Sim : 0.5648893; Baja. 
 informe diario septiembre 24 2018 petroleo toco maximos 2014 labelurl  ; j : 1211. Sim : 0.59129375; Baja. 
 informe diario marzo 19 2019 icc terreno negativo septiembrenlabelurl  ; j : 1212. Sim : 0.22321805; No similar. 
 informe diario julio 18 2017 confianza consumidor mejoro junionlabelurl  ; j : 1213. Sim : 0.49374717; No similar. 
 eventosclavedelajornadademananancolombia 1000 balanza comercial agosto china 2100 crecimiento pib  ; j : 1214. Sim : 0.31814083; No similar. 
 eventosclavedelajornadanzona euro 0400 inflacion agoncolombia 1000 tasa desempleo julncolombi label; j : 1215. Sim : 0.34571496; No similar. 
 informe diario marzo 9 2017 bce mantuvo inalterada politica monetarianlabelurl  ; j : 1216. Sim : 0.6005169; Baja. 
 informe diario enero 25 2017 aumento inventarios petroleo eeuunlabelurl  ; j : 1217. Sim : 0.5703329; Baja. 
 informe diario marzo 15 2017 feed incrementa tasa interesnlabelurl  ; j : 1218. Sim : 0.5235403; Baja. 
 eventosclavedelajornadademanananzona euro 500 ventas minoritas sepnchina balanza comercial oct labe; j : 1219. Sim : 0.122026674; No similar. 
 eventosclavedelajornadademananan eeuu 830 reclamaciones iniciales desempleo n eeuu 1000 indice labe; j : 1220. Sim : 0.594371; Baja. 
 eventosclavedelajornadademanananeeuu 0900 ordenes fabrica sept neeuu 730 informe mercado l labelurl; j : 1221. Sim : 0.35174718; No similar. 
 informe diario julio 3 2018 exportaciones colombianas crecieron 5 aa mayonlabelurl  ; j : 1222. Sim : 0.3483223; No similar. 
 informe diario febrero 5 2019 exportaciones disminuyeron 146 aa diciembrenlabelurl  ; j : 1223. Sim : 0.3472287; No similar. 
 informe diario diciembre 15 2016sector manufacturero mejoro eeuu eurozonanlabelurl  ; j : 1224. Sim : 0.60856944; Baja. 
 informe diario junio 7 2016 crecimiento eurozona 1t16 revisado alza labelurl  ; j : 1225. Sim : 0.35098195; No similar. 
 informe diario agosto 9 2018 inflacion mensual mexico continua aumentonlabelurl  ; j : 1226. Sim : 0.5652742; Baja. 
 informe semanal diciembre 15 2014 tormenta expectativa pib 3t14 labelurl  ; j : 1227. Sim : 0.44564143; No similar. 
 informe diario septiembre 13 2016 crecimiento demanda petroleo desaceleranlabelurl  ; j : 1228. Sim : 0.52139384; Baja. 
 informe diario abril 7 2014 mercado mantiene expectativa minutas feed labelurl  ; j : 1229. Sim : 0.41993248; No similar. 
 informe diario octubre 23 2018 fuerte retroceso precios petroleonlabelurl  ; j : 1230. Sim : 0.36025247; No similar. 
 informe diario julio 18 2018 inventarios petroleo aumentaron eeuunlabelurl  ; j : 1231. Sim : 0.53021544; Baja. 
 informe diario octubre 11 2017 divisiones comite feed inflacionnlabelurl  ; j : 1232. Sim : 0.37821233; No similar. 
 top 3 impacto economicoventas minoristas colombia repuntan enerosolicitudes subsidios desempleo lab; j : 1233. Sim : 0.28990155; No similar. 
 informe diario julio 19 2017 importaciones colombia crecieron 4 mayonlabelurl  ; j : 1234. Sim : 0.49787337; No similar. 
 informe diario febrero 2 2017 colombia exportaciones alcanza maximos 2011nlabelurl  ; j : 1235. Sim : 0.5743587; Baja. 
 top 3 impacto economicoexportaciones japon mantienen crecimiento febrerocrecimiento chile 201 label; j : 1236. Sim : 0.3096825; No similar. 
 informe diario febrero 8 2017 inventarios petroleo eeuu maximo historiconlabelurl  ; j : 1237. Sim : 0.6852772; Media. 
 informe diario octubre 9 2018 fmi aumento proyeccion crecimiento colombia labelurl  ; j : 1238. Sim : 0.6280808; Baja. 
 top 3 impacto economicocrecimiento zona euro 2t18 debajo esperadopmi manufactur labelurl  ; j : 1239. Sim : 0.002203111; No similar. 
 informe diario abril 28 2016 economia eeuu desacelero 1t16 labelurl  ; j : 1240. Sim : 0.5085619; Baja. 
 top 3 impacto economicoconfianza inversores zona euro encima esperadoexportaciones aleman labelurl ; j : 1241. Sim : 0.14073679; No similar. 
 informe diario agosto 3 2017 boe mantiene politica monetaria inalteradanlabelurl  ; j : 1242. Sim : 0.6154178; Baja. 
 top 3 impacto economicosubsidios desempleo eeuu disminuyeronexportaciones japon crecieron menos d l; j : 1243. Sim : 0.42534095; No similar. 
 mas top 3 impacto economico ventas minoristas colombia aumentaron mas esperado mayoperspectiva labe; j : 1244. Sim : 0.34981072; No similar. 
 informe semanal agosto 14 2017 debil crecimiento economico nlabelurl  ; j : 1245. Sim : 0.51954424; Baja. 
 informe diario noviembre 1 2016 exportaciones colombianas cayeron 56 septiembre labelurl  ; j : 1246. Sim : 0.30544442; No similar. 
 top 3 impacto economicoproduccion industrial zona euro retrocedio febreroinventarios petroleo label; j : 1247. Sim : 0.24932684; No similar. 
 informe diario junio 21 2017 precio petroleo continua cayendonlabelurl  ; j : 1248. Sim : 0.47522584; No similar. 
 eventosclavedelajornadademananan eeuu 915 produccion industrial n colombia 1100 pib produccion labe; j : 1249. Sim : 0.4870488; No similar. 
 informe diario febrero 19 2018 cartera vencida disminuyo diciembrenlabelurl  ; j : 1250. Sim : 0.4174761; No similar. 
 informe renta fija agosto 30 2017 rebaja descontada nlabelurl  ; j : 1251. Sim : 0.31461468; No similar. 
 informe diario octubre 8 2018 inflacion alimentos nivel mas bajo 2015 labelurl  ; j : 1252. Sim : 0.4565744; No similar. 
 informe diario julio 5 2017 colombia fuerte incremento exportaciones mayonlabelurl  ; j : 1253. Sim : 0.5409569; Baja. 
 informe diario octubre 8 2018 inflacion alimentos nivel mas bajo 2015nlabelurl  ; j : 1254. Sim : 0.43229154; No similar. 
 eventosclavedelajornadademananan eeuu 1000 indicador ism manufacturero novneeuu 1000 inventa labelu; j : 1255. Sim : 0.4127795; No similar. 
 informe renta variable mayo 8 2017 valoracion relativa mercados accionariosnlabelurl  ; j : 1256. Sim : 0.3181802; No similar. 
 eventosclavedelajornadaneeuu 730 indice precios consumidor julncolombia 1300 minutas polit labelurl; j : 1257. Sim : 0.34767264; No similar. 
 informe diario agosto 15 2018 continua recuperacion economia colombiananlabelurl  ; j : 1258. Sim : 0.56358796; Baja. 
 informe diario marzo 27 2018 cartera vencida disminuyo eneronlabelurl  ; j : 1259. Sim : 0.4801269; No similar. 
 informe diario enero 4 2017 eurozona inflacion registro maximo 2013nlabelurl  ; j : 1260. Sim : 0.6258298; Baja. 
 informe renta fija marzo 31 2015 menos pib mas deficit labelurl  ; j : 1261. Sim : 0.4254022; No similar. 
 top 3 impacto economicoinflacion chile encima esperado abrilexportaciones china au labelurl  ; j : 1262. Sim : 0.09923917; No similar. 
 informe diario marzo 21 2019 contrajo economia argentina 4t18nlabelurl  ; j : 1263. Sim : 0.4031006; No similar. 
 informe diario abril 2 2019 fmi crecimiento mundial pierde impetunlabelurl  ; j : 1264. Sim : 0.3805477; No similar. 
 informe diario marzo 21 2019 contrajo economia argentina 4t18nlabelurl  ; j : 1265. Sim : 0.4031006; No similar. 
 informe diario abril 2 2019 fmi crecimiento mundial pierde impetunlabelurl  ; j : 1266. Sim : 0.3805477; No similar. 
 eventosclavedelajornadademanananjapon 1930 pmi nikkein eeuu 700 aplicaciones hipoteca mba labelurl ; j : 1267. Sim : 0.38602045; No similar. 
 informe diario abril 16 2018 repuntes industria comercio confianzanlabelurl  ; j : 1268. Sim : 0.3965889; No similar. 
 eventosclavedelajornadademananan eeuu 700 aplicaciones hipoteca mban eeuu 1030 inventarios c labelu; j : 1269. Sim : 0.37862962; No similar. 
 publicacionesbanrep informe especial estabilidadfinanciera segundo semestre 2017 concentracion comp; j : 1270. Sim : 0.22874695; No similar. 
 andrespardoa colombia carbon impulso exportaciones julio registraron crecimiento 85 labelurl  ; j : 1271. Sim : 0.41508573; No similar. 
 inflacion primer semestre observaron presiones demanda precios canasta alimento labelurl  ; j : 1272. Sim : 0.30332604; No similar. 
 informe diario enero 3 2017 eeuu sector manufacturero fortalecio diciembrenlabelurl  ; j : 1273. Sim : 0.64940757; Baja. 
 informe diario mayo 22 2017 mercados expectativa reunion opep labelurl  ; j : 1274. Sim : 0.46002173; No similar. 
 top 3 impacto economicoexportaciones colombia repuntaron abrilsector servicios japon crecio labelur; j : 1275. Sim : 0.40971777; No similar. 
 eventosclavedelajornadademanananeeuu 0730 ordenes bienes durables septnzona euro 0645 reunion d lab; j : 1276. Sim : 0.3621177; No similar. 
 informe diario enero 2 2018 eeuu sector manufacturero expande diciembrenlabelurl  ; j : 1277. Sim : 0.56603175; Baja. 
 informe diario septiembre 1 2016 sector manufacturero eeuu debilito agostonlabelurl  ; j : 1278. Sim : 0.4930914; No similar. 
 eventosclavedelajornadademanananeeuu 1000 indice nahb mercado inmobiliario novnzona euro 500 d labe; j : 1279. Sim : 0.20985308; No similar. 
 reportesdelemisor cuarto trimestre 2018 percepcion demanda nuevos microcreditos mant labelurl  ; j : 1280. Sim : 0.38014296; No similar. 
 informe diario diciembre 1 2016 sector manufacturero eeuu fortalecio noviembrenlabelurl  ; j : 1281. Sim : 0.50881046; Baja. 
 top3deimpactoeconomicon1inflacion japon acelera levemente eneron2inflacion zona euro cae li labelur; j : 1282. Sim : 0.26133394; No similar. 
 indice precios consumidor ipc eeuu linea expectativas mercado octubre labelurl  ; j : 1283. Sim : 0.49630496; No similar. 
 informe semanal septiembre 15 2014 estabilizacion expectativa pib 2t14 labelurl  ; j : 1284. Sim : 0.49855617; No similar. 
 top 3 impacto economicoconfianza sector manufacturero unidos niveles maximospib argenti labelurl  ; j : 1285. Sim : 0.09712216; No similar. 
 informe diario enero 14 2019 avanzan negociaciones eeuu chinanlabelurl  ; j : 1286. Sim : 0.48418677; No similar. 
 informe diario mayo 16 2016 industria colombia desacelero marzo labelurl  ; j : 1287. Sim : 0.41353604; No similar. 
 eje cafetero primer trimestre crecieron ventas matriculas vehiculos nuevos labelurl  ; j : 1288. Sim : 0.22114566; No similar. 
 informe diario marzo 26 2018 mercados acciones eeuu recuperaronnlabelurl  ; j : 1289. Sim : 0.5384316; Baja. 
 crecimiento endeudamiento hogares reducido gradualmente enero 2018 proporcion ing labelurl  ; j : 1290. Sim : 0.37414885; No similar. 
 eje cafetero primer trimestre crecieron ventas matriculas vehiculos nuevos labelurl  ; j : 1291. Sim : 0.22114566; No similar. 
 eventosclavedelajornadademanananeeuu 1300 reunion politica monetaria fedn eeuu 930 inventarios labe; j : 1292. Sim : 0.50862086; Baja. 
 informe renta variable octubre 4 2016 ultimo empuje dolar nlabelurl  ; j : 1293. Sim : 0.29261225; No similar. 
 reportesdelemisor actividad economica 2018 jalonada demanda interna liderada consumo l labelurl  ; j : 1294. Sim : 0.21028008; No similar. 
 informe mercado septiembre 2018ndurante septiembre rentabilidades portafolios pension voluntaria la; j : 1295. Sim : 0.35259715; No similar. 
 informe diario junio 2 2016 bce mantuvo instrumentos politica inalterados labelurl  ; j : 1296. Sim : 0.4683924; No similar. 
 publicaciones informe especial estabilidadfinanciera segundo semestre 2017 riesgo mercado labelurl ; j : 1297. Sim : 0.25949204; No similar. 
 informe inflacion febrero 17 2017 primeros efectos tributaria nlabelurl  ; j : 1298. Sim : 0.4560788; No similar. 
 colombia economia crecio 43 2013 linea expectativa esperabamos 42  ; j : 1299. Sim : 0.54686135; Baja. 
